"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001","Develop AKS Terraform Module with CNI & RBAC","Create Terraform configuration for Azure Kubernetes Service including Azure CNI networking, Azure AD RBAC integration, and Node Pools setup.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2024-01-10","6.3","3","infrastructure,terraform,azure,security","Sprint 1","Establish Core Infrastructure and Backend Foundations","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","STORY-INFRA-001","","Terraform,Azure,Kubernetes","Medium","Medium","Terraform plan passes; AKS cluster provisions; kubectl connectivity verified","Code in repo; Pipeline passing; Environment reachable","2024-01-05T09:00:00Z","2024-01-05T09:00:00Z","2024-01-08","2024-01-19","15%","Security Architect for RBAC","Azure Quota Approval","Infrastructure verification test","Apply to Dev environment first","Foundation for all microservices"
"TASK-INFRA-002","Provision PostgreSQL with PostGIS & TimescaleDB","Configure Azure Database for PostgreSQL Flexible Server with required extensions for geospatial and time-series data.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2024-01-11","5.2","3","database,infrastructure,postgis","Sprint 1","Establish Core Infrastructure and Backend Foundations","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","STORY-INFRA-001","TASK-INFRA-001","Terraform,PostgreSQL","Medium","Medium","PostgreSQL running; PostGIS active; TimescaleDB active","DB Accessible from AKS; Extensions verified","2024-01-05T09:00:00Z","2024-01-05T09:00:00Z","2024-01-08","2024-01-19","15%","Backend Lead for Schema","None","Extension query validation","Ensure firewall rules allow AKS subnet","Enables geospatial features"
"TASK-INFRA-003","Configure Reusable Workflow for Microservices","Create parameterized GitHub Action workflow for Docker build, scan, and Helm deploy.","Task","Sprint Backlog","High","devops.lead@company.com","tech.lead@company.com","2024-01-12","6","3","devops,cicd,github-actions","Sprint 1","Establish Core Infrastructure and Backend Foundations","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","STORY-INFRA-002","TASK-INFRA-001","GitHub Actions,Docker,Helm","Medium","Low","Workflow builds sample service; Pushes to ACR; Deploys to AKS","Pipeline green for test service","2024-01-05T09:00:00Z","2024-01-05T09:00:00Z","2024-01-08","2024-01-19","15%","Dev Team for build args","None","Pipeline execution test","None","Accelerates development cycle"
"TASK-BE-001","Develop Product Registration API Endpoint","Implement POST /products endpoint in NestJS with UTC warranty expiry calculation using date-fns.","Task","Sprint Backlog","High","backend.nest@company.com","product.owner@company.com","2024-01-15","8.3","5","backend,nestjs,api","Sprint 1","Establish Core Infrastructure and Backend Foundations","Core Backend Services (NestJS)","EPIC-BACKEND-CORE","Warranty Platform","US-001","TASK-INFRA-002","NestJS,TypeScript,TypeORM","Medium","Low","API accepts payload; Calculates expiry (UTC); Validates regex; Persists to DB","Unit tests passed; Integration test against DB passed","2024-01-05T09:00:00Z","2024-01-05T09:00:00Z","2024-01-08","2024-01-19","20%","None","None","Jest unit tests, Supertest integration","Requires DB migration run","Core business functionality"
"TASK-BE-002","Implement Geospatial Routing Service","Develop NestJS service to execute PostGIS 'ST_Contains' queries matching user location to Service Center polygons.","Task","Sprint Backlog","High","backend.nest@company.com","product.owner@company.com","2024-01-17","12.7","8","backend,postgis,algorithm","Sprint 1","Establish Core Infrastructure and Backend Foundations","Core Backend Services (NestJS)","EPIC-BACKEND-CORE","Warranty Platform","US-003","TASK-INFRA-002","NestJS,PostGIS,SQL","High","High","Identifies correct SC polygon; Handles overlaps; P95 < 250ms","Performance test passed with complex polygons","2024-01-05T09:00:00Z","2024-01-05T09:00:00Z","2024-01-08","2024-01-19","30%","DevOps for DB tuning","None","Spatial query integration tests","Monitor DB CPU during spatial queries","Automates core dispatch logic"
"TASK-NET-001","Develop SignalR Location Hub","Create ASP.NET Core SignalR Hub with Azure SignalR Service and JWT auth for real-time streaming.","Task","Sprint Backlog","High","backend.net@company.com","tech.lead@company.com","2024-01-16","10.7","5","backend,dotnet,signalr,realtime","Sprint 1","Establish Core Infrastructure and Backend Foundations","Real-time Location Services (.NET)","EPIC-REALTIME","Warranty Platform","US-004","None","C#,SignalR,.NET 8","Medium","Medium","Hub accepts stream; Broadcasts to group; Latency < 2s","Load test with 1k connections passed","2024-01-05T09:00:00Z","2024-01-05T09:00:00Z","2024-01-08","2024-01-19","25%","Mobile team for contract","Azure SignalR Service","k6 load testing","Configure connection strings securely","Enables technician tracking"
"TASK-MOB-001","Implement Offline Action Queue Architecture","Set up WatermelonDB/Redux Offline structure for mobile app to handle disconnected states.","Task","Sprint Backlog","High","mobile.lead@company.com","product.owner@company.com","2024-01-18","10","5","mobile,react-native,offline","Sprint 1","Establish Core Infrastructure and Backend Foundations","Mobile Applications (React Native)","EPIC-MOBILE","Warranty Platform","US-006","None","React Native,Offline-First","Medium","Medium","Actions persist restart; Execute in order; Retry logic works","Offline sync demo working","2024-01-05T09:00:00Z","2024-01-05T09:00:00Z","2024-01-08","2024-01-19","25%","None","None","Airplane mode testing","None","Field reliability"
"TASK-FE-001","Integrate Mapbox GL JS Polygon Editor","Create React component wrapping Mapbox GL JS Draw to allow admins to define service areas.","Task","Sprint Backlog","Medium","frontend.web@company.com","product.owner@company.com","2024-01-17","12","5","frontend,react,mapbox","Sprint 1","Establish Core Infrastructure and Backend Foundations","Web Portals (Next.js)","EPIC-FRONTEND-WEB","Warranty Platform","US-005","None","React,Mapbox GL JS","Medium","Low","Draw/edit polygons; Validate closure; Export GeoJSON","Component integrated in Admin shell","2024-01-05T09:00:00Z","2024-01-05T09:00:00Z","2024-01-08","2024-01-19","30%","Backend for GeoJSON format","Mapbox API Token","Browser compatibility test","None","Admin configuration tool"
"TASK-MOB-002","Implement Background Location Service","Configure 'react-native-background-geolocation' and connect to SignalR hub for tracking.","Task","Sprint Backlog","Critical","mobile.lead@company.com","tech.lead@company.com","2024-01-26","14.3","8","mobile,react-native,geolocation","Sprint 2","Deliver Real-Time and Background Features","Mobile Applications (React Native)","EPIC-MOBILE","Warranty Platform","US-006","TASK-NET-001","React Native,Android,iOS","High","High","Tracks in background; Sends to Hub; Permission handling","Field test successful on iOS and Android","2024-01-05T09:00:00Z","2024-01-05T09:00:00Z","2024-01-22","2024-02-02","35%",".NET team for Hub integration","Physical devices","Battery usage profiling","Requires correct App Store permissions descriptions","Core tracking capability"
"TASK-BG-001","Implement OCR Worker with Polly Resilience","Develop .NET BackgroundService to consume invoice images and call Azure AI.","Task","Sprint Backlog","Medium","backend.net@company.com","product.owner@company.com","2024-01-24","8.3","3","backend,dotnet,ocr","Sprint 2","Deliver Real-Time and Background Features","Background Processing","EPIC-BACKGROUND","Warranty Platform","US-007","TASK-INFRA-001","C#,.NET 8,Polly","Medium","Low","Processes Service Bus messages; Retries on failure; Circuit breaker","Integration test with mocked Azure AI","2024-01-05T09:00:00Z","2024-01-05T09:00:00Z","2024-01-22","2024-02-02","20%","None","Azure AI Document Intelligence","Chaos testing for retries","None","Automation efficiency"
