"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INF-001","Design and Implement VNet and CNI Networking","Define Terraform modules for Virtual Network, Subnets, and Network Security Groups tailored for Azure CNI to prevent IP exhaustion.","Task","Sprint Backlog","Critical","devops.lead@warrantyplatform.com","architect@warrantyplatform.com","2025-05-03","5.2","3","infrastructure,terraform,networking","Sprint 1","Establish Cloud Foundation & Identity Layer","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","WI-INFRA-001","","Terraform,Azure Networking","High","Medium","VNet created; Subnets segmented; TF plan validates","Terraform applied in dev; Connectivity verified","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","None","Azure Subscription Quota","Infrastructure verification tests","Apply to Dev environment first","Fundamental network connectivity"
"TASK-INF-002","Provision AKS Cluster and Node Pools","Write Terraform to instantiate AKS with System and User node pools, enabling Cluster Autoscaler and RBAC.","Task","Sprint Backlog","Critical","devops.lead@warrantyplatform.com","architect@warrantyplatform.com","2025-05-05","9.3","5","infrastructure,kubernetes,aks","Sprint 1","Establish Cloud Foundation & Identity Layer","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","WI-INFRA-001","TASK-INF-001","Terraform,Kubernetes","High","Medium","Cluster provisioned; Node pools separated; RBAC enabled","kubectl connectivity established","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","Security Team (RBAC)","None","Cluster health checks","Enable monitoring addons","Compute substrate for microservices"
"TASK-DB-001","Terraform PostgreSQL Flexible Server with HA","Define PostgreSQL Flexible Server resource with High Availability (Zone Redundant) and Private Endpoint integration.","Task","Sprint Backlog","High","devops.engineer@warrantyplatform.com","architect@warrantyplatform.com","2025-05-06","6.3","3","infrastructure,database,postgres","Sprint 1","Establish Cloud Foundation & Identity Layer","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","WI-INFRA-002","TASK-INF-001","Terraform,PostgreSQL","Medium","Low","Private Postgres server created; HA enabled; Connectivity verified","Connection string available in KeyVault","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","None","None","Connection test from VNet","Set maintenance window","Data persistence layer"
"TASK-IAM-001","Define User Attributes and Claims Schema","Map user attributes (role, tenantId, permissions) to B2C claims and configure TrustFrameworkBase.xml.","Task","Sprint Backlog","Critical","security.architect@warrantyplatform.com","architect@warrantyplatform.com","2025-05-04","6.3","3","security,iam,b2c","Sprint 1","Establish Cloud Foundation & Identity Layer","Identity & Access Management","EPIC-AUTH","Warranty Platform","WI-IAM-001","","Azure AD B2C,XML","High","High","Schema extension created; Policy uploaded","B2C accepts policy upload without errors","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","Backend Team (Token Structure)","Azure AD B2C Tenant","Policy validation","Use IEF Starter Pack","Identity foundation"
"TASK-IAM-002","Implement Local Account Sign-Up/Sign-In Policy","Create SignUpOrSignin.xml policy with support for email verification and custom claim injection.","Task","Sprint Backlog","Critical","security.architect@warrantyplatform.com","architect@warrantyplatform.com","2025-05-08","10.3","5","security,iam,b2c","Sprint 1","Establish Cloud Foundation & Identity Layer","Identity & Access Management","EPIC-AUTH","Warranty Platform","WI-IAM-001","TASK-IAM-001","Azure AD B2C,XML","High","High","Sign up functional; JWT contains 'role'","JWT decoded successfully with correct claims","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","None","None","Manual auth flow testing","Requires Identity Experience Framework","User authentication capability"
"TASK-AUTH-001","Implement Passport JWT Strategy","Create NestJS Passport strategy to validate JWT signature using JWKS from Azure B2C.","Task","Sprint Backlog","High","backend.lead@warrantyplatform.com","architect@warrantyplatform.com","2025-05-10","6","3","backend,nestjs,security","Sprint 1","Establish Cloud Foundation & Identity Layer","Identity & Access Management","EPIC-AUTH","Warranty Platform","WI-IAM-002","TASK-IAM-002","NestJS,Passport.js","Medium","Low","Token signature validated; Payload extracted","Unit tests passing with mock tokens","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","100%","Security Team","B2C Metadata Endpoint","Unit & Integration tests","Deploy as shared library","Secure API access"
"TASK-GEO-001","Setup PostGIS and Define Service Area Schema","Enable PostGIS extension. Create TypeORM entity for ServiceCenterArea with Polygon geometry type.","Task","Sprint Backlog","High","backend.dev1@warrantyplatform.com","product.owner@warrantyplatform.com","2025-05-17","6.3","3","backend,database,gis","Sprint 2","Core Business Logic: Routing & Products","Service Request Lifecycle","EPIC-SERVICE","Warranty Platform","WI-SERV-002","TASK-DB-001","PostgreSQL,PostGIS,TypeORM","Medium","Medium","PostGIS enabled; Geometry columns created","Migration runs successfully","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-15","2025-05-28","100%","DevOps (DB Extension)","None","Schema validation","Requires DB admin privileges","Enables location-based features"
"TASK-GEO-002","Implement Point-in-Polygon Query Logic","Develop service method to query ServiceCenterAreas containing a given latitude/longitude using ST_Contains.","Task","Sprint Backlog","High","backend.dev1@warrantyplatform.com","product.owner@warrantyplatform.com","2025-05-20","10.3","5","backend,algorithm,gis","Sprint 2","Core Business Logic: Routing & Products","Service Request Lifecycle","EPIC-SERVICE","Warranty Platform","WI-SERV-002","TASK-GEO-001","NestJS,PostGIS,SQL","High","Medium","Query returns correct service center; <100ms execution","Integration tests passing with seed data","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-15","2025-05-28","100%","None","None","Geospatial boundary testing","Ensure spatial indexes created","Automated dispatching"
"TASK-PROD-001","Implement File Upload Endpoint","Create NestJS endpoint to handle multipart file upload, validate mime-type/size, and upload to Azure Blob Storage.","Task","Sprint Backlog","High","backend.dev2@warrantyplatform.com","product.owner@warrantyplatform.com","2025-05-16","5.2","3","backend,azure-storage,api","Sprint 2","Core Business Logic: Routing & Products","Product Management & Warranty","EPIC-PROD-MGMT","Warranty Platform","WI-PROD-002","TASK-IAM-002","NestJS,Azure Storage","Medium","Low","File in Blob Storage; Secure URL returned","Upload works via Postman","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-15","2025-05-28","100%","DevOps (Storage Account)","Azure Storage Account","MIME type validation tests","Configure CORS","Enables invoice capture"
"TASK-PROD-002","Integrate Azure AI Document Intelligence","Implement service to call Azure OCR API with document URL. Define DTOs for response parsing.","Task","Sprint Backlog","Medium","backend.dev2@warrantyplatform.com","product.owner@warrantyplatform.com","2025-05-19","6.3","3","backend,ai,integration","Sprint 2","Core Business Logic: Routing & Products","Product Management & Warranty","EPIC-PROD-MGMT","Warranty Platform","WI-PROD-002","TASK-PROD-001","NestJS,Azure AI","Medium","Medium","OCR API called; Response parsed; Error handling","Successfully extracts date/total from sample invoice","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-15","2025-05-28","100%","None","Azure AI Resource","Test with various invoice formats","Managed Identity for AI access","Automated data entry"
