"task_id","title","description","type","status","priority","assignee","due_date","estimated_hours","sprint","sprint_goal","epic_id","dependencies","skills_required","risk_level"
"TASK-INF-001","Develop AKS Terraform Module","Create reusable Terraform module for AKS including node pools, CNI networking, and identity integration.","Task","Sprint Backlog","Critical","devops.lead@company.com","2024-06-03","8.3","Sprint 1","Establish Secure Cloud Foundation & Identity","EPIC-INFRA","None","Terraform, Azure","Low"
"TASK-INF-003","Implement Cluster Security & RBAC","Configure Azure AD integration for cluster access and setup Network Security Groups (NSGs).","Task","Sprint Backlog","High","devops.lead@company.com","2024-06-05","11.9","Sprint 1","Establish Secure Cloud Foundation & Identity","EPIC-INFRA","TASK-INF-001","Azure Security, Terraform","Medium"
"TASK-INF-004","Provision PostgreSQL with PostGIS & PITR","Terraform module for PostgreSQL Flexible Server with PostGIS extension, PITR enabled, and high availability.","Task","Sprint Backlog","Critical","cloud.engineer@company.com","2024-06-04","14.3","Sprint 1","Establish Secure Cloud Foundation & Identity","EPIC-INFRA","None","Terraform, PostgreSQL","Medium"
"TASK-INF-005","Configure Geo-Redundant Blob Storage","Provision Azure Storage Account with GRS replication and private endpoints.","Task","Sprint Backlog","High","cloud.engineer@company.com","2024-06-05","8.3","Sprint 1","Establish Secure Cloud Foundation & Identity","EPIC-INFRA","None","Terraform, Azure","Low"
"TASK-SEC-001","Define B2C Custom Policy XML (Base)","Create TrustFrameworkBase.xml defining claims, transformations, and technical profiles.","Task","Sprint Backlog","Critical","security.architect@company.com","2024-06-04","12.7","Sprint 1","Establish Secure Cloud Foundation & Identity","EPIC-SECURITY","None","Azure AD B2C, XML","High"
"TASK-SEC-002","Implement MFA & Role Claims in Policy","Extend policy to enforce MFA for Admin roles and inject Role claims into JWT.","Task","Sprint Backlog","Critical","security.architect@company.com","2024-06-06","12","Sprint 1","Establish Secure Cloud Foundation & Identity","EPIC-SECURITY","TASK-SEC-001","Azure AD B2C, XML","Medium"
"TASK-BE-001","Design Product Entity & TypeORM Schema","Define Product entity with SoftDelete, Relations to User/Brand, and migration scripts.","Task","Sprint Backlog","High","backend.dev1@company.com","2024-06-06","6","Sprint 1","Establish Secure Cloud Foundation & Identity","EPIC-CORE-SVC","TASK-INF-004","NestJS, TypeORM, SQL","Low"
"TASK-BE-002","Implement Product CRUD & Soft Delete Logic","Implement service methods for Create, Read, Update, Delete. Override delete to perform soft delete.","Task","Sprint Backlog","High","backend.dev1@company.com","2024-06-07","8.3","Sprint 1","Establish Secure Cloud Foundation & Identity","EPIC-CORE-SVC","TASK-BE-001","NestJS, TypeScript","Low"
"TASK-MOB-001","Define WatermelonDB Schema & Migration","Setup WatermelonDB, define tables (ServiceRequest, Product, User), and create initial migration.","Task","Sprint Backlog","High","mobile.dev@company.com","2024-06-07","8.3","Sprint 1","Establish Secure Cloud Foundation & Identity","EPIC-FRONTEND","None","React Native, WatermelonDB","Medium"
"TASK-BE-005","Implement Service Request Entity & State Machine","Define entity with enum-based status. Implement transitions logic.","Task","Sprint Backlog","Critical","backend.dev2@company.com","2024-06-12","10.3","Sprint 2","Core Business Logic & Sync Engine","EPIC-CORE-SVC","TASK-BE-001","NestJS, TypeScript","Low"
"TASK-BE-006","Implement Geospatial Routing Service","Create service to query PostGIS for Service Centers where User location ST_Intersects Service Area.","Task","Sprint Backlog","Critical","backend.dev2@company.com","2024-06-14","14.3","Sprint 2","Core Business Logic & Sync Engine","EPIC-CORE-SVC","TASK-INF-004","PostGIS, SQL, NestJS","Medium"
