"task_id","title","description","type","status","priority","assignee","due_date","estimated_hours","story_points","sprint","epic_id","parent_id","dependencies","skills_required","risk_level"
"TASK-132-01","Design Rollback Workflow & Parameters","Design the GitHub Actions workflow input parameters and define rollback strategy.","Task","Sprint Backlog","High","devops.lead@company.com","2024-05-24","4","1","Sprint 1","EPIC-INFRA","US-132","","GitHub Actions,Kubernetes","Low"
"TASK-132-02","Implement Rollback GitHub Action","Write YAML for rollback action and integrate with Azure CLI for AKS authentication.","Task","Sprint Backlog","High","devops.lead@company.com","2024-05-28","8","2","Sprint 1","EPIC-INFRA","US-132","TASK-132-01","GitHub Actions,Helm,Kubectl","Medium"
"TASK-132-03","Validation & Runbook Creation","Test rollback in Staging and create Incident Response runbook.","Task","Sprint Backlog","Medium","devops.lead@company.com","2024-05-30","3.6","1","Sprint 1","EPIC-INFRA","US-132","TASK-132-02","Technical Writing","Low"
"TASK-098-01","PostGIS Integration & Schema Migration","Enable PostGIS extension on Azure DB and create migrations for service_areas table.","Task","Sprint Backlog","Critical","backend.lead@company.com","2024-05-24","4.3","1","Sprint 1","EPIC-BACKEND","US-098","","PostgreSQL,TypeORM,Terraform","Medium"
"TASK-098-02","Implement Geofence Ingestion Service","Create API endpoints to accept, validate, and persist GeoJSON polygons.","Task","Sprint Backlog","High","backend.lead@company.com","2024-05-28","10","3","Sprint 1","EPIC-BACKEND","US-098","TASK-098-01","NestJS,GeoJSON,PostGIS","Medium"
"TASK-098-03","Implement Point-in-Polygon Query Logic","Develop core routing query using TypeORM and ST_Contains.","Task","Sprint Backlog","High","backend.lead@company.com","2024-05-30","10.3","3","Sprint 1","EPIC-BACKEND","US-098","TASK-098-01","SQL,PostGIS,NestJS","Medium"
"TASK-098-04","Implement Round-Robin Tie-Breaker","Implement Redis-backed logic to handle multiple eligible service centers.","Task","Sprint Backlog","Medium","backend.dev@company.com","2024-06-03","8","2","Sprint 1","EPIC-BACKEND","US-098","TASK-098-03","NestJS,Redis","Low"
"TASK-098-05","Service Routing Integration & Fallback","Integrate routing logic into Service Request creation flow with error handling.","Task","Sprint Backlog","Medium","backend.dev@company.com","2024-06-04","8","2","Sprint 1","EPIC-BACKEND","US-098","TASK-098-04","NestJS","Low"
"TASK-081-01","Analyze B2C Custom Policy Requirements","Review Starter Pack and map MFA/Lockout requirements to XML.","Task","Sprint Backlog","Critical","security.architect@company.com","2024-05-24","12.3","3","Sprint 1","EPIC-AUTH","US-081","","Azure AD B2C,XML","Critical"
"TASK-081-02","Implement Base Custom Policies","Setup TrustFrameworkBase files and upload keys/certs to B2C.","Task","Sprint Backlog","Critical","security.architect@company.com","2024-05-29","16","5","Sprint 1","EPIC-AUTH","US-081","TASK-081-01","Azure AD B2C","High"
