"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-SEC-001","Configure Azure AD B2C Tenant & User Flows","Setup B2C tenant, define User Flows (SignUp/SignIn), configure Identity Providers, and register API/Client applications.","Task","Sprint Backlog","Critical","devops.lead@company.com","product.owner@company.com","2025-02-05","6.3","3","infrastructure,security,azure","Sprint 1","Establish core security, authentication, and compliance auditing foundation","Core Security & Identity Foundation","EPIC-CORE-SEC","Warranty Platform","US-001","","Azure IAM,OIDC","Medium","Medium","B2C Tenant active; App Registrations created; Client Secrets in Key Vault","Configuration applied via Terraform; Token issuance verified via Postman","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","Backend team for secret handoff","Azure Subscription Quotas","Token validation testing","Apply to Dev and Staging environments","Foundation for all user access"
"TASK-SEC-002","Implement NestJS Passport Strategy & Guards","Develop the backend authentication module using @nestjs/passport and passport-azure-ad to validate B2C JWTs.","Task","Sprint Backlog","Critical","backend.dev@company.com","tech.lead@company.com","2025-02-07","8.3","5","backend,nestjs,security","Sprint 1","Establish core security, authentication, and compliance auditing foundation","Core Security & Identity Foundation","EPIC-CORE-SEC","Warranty Platform","US-001","TASK-SEC-001","NestJS,TypeScript,JWT","High","Medium","AuthGuard validates Bearer token signature; Invalid tokens return 401; Claims parsed","Unit tests for Guard logic passing; Integration test with mock B2C token","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","None","None","Unit, Integration","None","Secures all API endpoints"
"TASK-SEC-003","Implement User Sync Webhook","Create a secure webhook or API connector to synchronize B2C user creation events with the local PostgreSQL users table.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2025-02-10","6.3","3","backend,integration,database","Sprint 1","Establish core security, authentication, and compliance auditing foundation","Core Security & Identity Foundation","EPIC-CORE-SEC","Warranty Platform","US-001","TASK-SEC-002","NestJS,TypeORM,Webhooks","Medium","High","User creation in B2C triggers local DB insertion; Idempotency handling; Error logging","Integration test simulating B2C callback passing; Retry mechanism verified","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","DevOps for B2C Connector config","B2C API Connector availability","Integration","Requires public endpoint for B2C callback or tunnel","Ensures data consistency between IDP and app"
"TASK-AUD-001","Implement Audit Service & OpenSearch Integration","Develop the centralized audit service to publish critical events to OpenSearch for immutable logging.","Task","Sprint Backlog","High","backend.dev@company.com","compliance.officer@company.com","2025-02-12","12","5","backend,security,compliance","Sprint 1","Establish core security, authentication, and compliance auditing foundation","Security","US-006","Warranty Platform","US-006","TASK-SEC-002","NestJS,OpenSearch","Medium","Low","Events are serialized to JSON; Sent to OpenSearch index; Searchable via API","Logs appearing in OpenSearch dashboard; Audit interceptor created","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","None","OpenSearch Cluster Provisioning","Unit, Integration","Configure retention policies","Regulatory compliance and security forensics"
"TASK-SIG-001","Mobile Signature Capture Component","Implement React Native canvas component to capture customer signature as an image.","Task","Sprint Backlog","Medium","mobile.dev@company.com","product.owner@company.com","2025-02-13","8","3","mobile,frontend,react-native","Sprint 1","Establish core security, authentication, and compliance auditing foundation","Core Features","US-008","Warranty Platform","US-008","","React Native,Canvas","Low","Low","User can draw signature; Signature saved as PNG; Clear/Undo functionality","Tested on iOS and Android devices","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","None","None","Manual device testing","None","Enables job closure workflow"
"TASK-GEO-001","Implement Mapbox Draw Component (Next.js)","Integrate Mapbox GL JS with mapbox-gl-draw plugin in the Admin UI to allow polygon creation and editing.","Task","Sprint Backlog","High","frontend.dev@company.com","product.owner@company.com","2025-02-19","8.7","3","frontend,mapbox,react","Sprint 2","Implement core service logic including geospatial routing and admin service area definition","Geospatial Service Management","EPIC-GEO-SVC","Warranty Platform","US-005","","React,Mapbox GL JS,Next.js","Medium","Medium","Map renders with controls; User can draw/edit/delete polygons; Coordinates accessible in state","Visual verification of drawing tools; Component reusable","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","100%","None","Mapbox API Token","Component testing","None","Allows admins to define service territories"
"TASK-GEO-002","Backend GeoJSON Validation & Storage","Create API endpoint to receive GeoJSON, validate geometry (closure, self-intersection), and store in PostGIS.","Task","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2025-02-21","6","3","backend,postgis,database","Sprint 2","Implement core service logic including geospatial routing and admin service area definition","Geospatial Service Management","EPIC-GEO-SVC","Warranty Platform","US-005","TASK-SEC-002","NestJS,PostGIS,TypeORM","High","Medium","API accepts GeoJSON Polygon; Invalid polygons rejected; Data stored in geometry column","Integration tests with valid/invalid GeoJSON passing","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","100%","Database Admin for PostGIS extension","PostGIS Extension enabled","Integration, Unit","Run migration to enable PostGIS","Persists service areas for routing"
"TASK-GEO-003","Implement Point-in-Polygon Routing Logic","Develop the service method that takes a lat/long and queries PostGIS to find containing Service Area polygons.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2025-02-25","9","5","backend,algorithm,postgis","Sprint 2","Implement core service logic including geospatial routing and admin service area definition","Geospatial Service Management","EPIC-GEO-SVC","Warranty Platform","US-003","TASK-GEO-002","SQL,PostGIS,NestJS","High","High","Query returns correct Service Center for given point; Handles overlapping areas; Performance < 200ms","Unit tests with boundary cases passing; Spatial index created","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","100%","None","None","Performance testing","None","Automates technician dispatch"
"TASK-SIG-002","Backend Signature Upload & Link","Create endpoint to receive signature image, upload to Blob Storage, and link to Service Request.","Task","Sprint Backlog","Medium","backend.dev@company.com","product.owner@company.com","2025-02-26","6","2","backend,blob-storage,api","Sprint 2","Implement core service logic including geospatial routing and admin service area definition","Core Features","US-008","Warranty Platform","US-008","TASK-SEC-002","NestJS,Azure Blob Storage","Low","Low","Image stored in secure container; URL saved to DB; Only assigned tech can upload","Integration test uploading file passing","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","100%","None","Azure Blob Storage Container","Integration","None","Completes the job closure loop"
"TASK-OCR-001","Mobile Camera UI & Invoice Upload","Implement camera interface for invoice scanning and file upload logic in React Native app.","Task","Sprint Backlog","High","mobile.dev@company.com","product.owner@company.com","2025-03-05","12","5","mobile,camera,ux","Sprint 3","Deliver advanced data features: OCR for consumers and Analytics for brands","Data Management","US-002","Warranty Platform","US-002","TASK-SEC-002","React Native,Camera API","Medium","Medium","User can take photo or select from gallery; Image compressed; Uploaded to backend","Tested on physical iOS and Android devices","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-03-03","2025-03-14","100%","None","None","Manual device testing","None","Entry point for automated registration"
