"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INF-001","Develop Terraform Module for ACR with Private Link","Create reusable Terraform module for Azure Container Registry, ensuring admin user is disabled and networking is restricted via Private Link.","Task","Sprint Backlog","Critical","devops.engineer@company.com","system.architect@company.com","2025-05-03","4","2","devops,terraform,azure,security","Sprint 1","Establish Secure Cloud Infrastructure & CI/CD Pipeline","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Service Platform","TS-INFRA-001","","Terraform,Azure Networking","Medium","Low","ACR resource created successfully; Public network access disabled; Private Endpoint configured","Module applied in dev environment; Terraform state locked; Documentation updated","2025-05-01","2025-05-14","5%","Security Team","Azure Subscription Access","Terraform validate/plan","Apply via bootstrap pipeline","Foundation for secure artifact storage"
"TASK-INF-003","Terraform Module for PostgreSQL with PostGIS","Provision Azure Database for PostgreSQL Flexible Server, enable PostGIS extension, and configure firewall rules/VNet integration.","Task","Sprint Backlog","High","devops.engineer@company.com","system.architect@company.com","2025-05-05","6.3","3","database,terraform,postgis,azure","Sprint 1","Establish Secure Cloud Infrastructure & CI/CD Pipeline","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Service Platform","TS-INFRA-002","TASK-INF-001","Terraform,PostgreSQL,Azure","Medium","Medium","Postgres instance active; PostGIS extension enabled; Connection possible from VNet","Connection verification successful; Backup policy configured","2025-05-01","2025-05-14","8%","Backend Team","None","Connection test script","Requires VNet from INF-001","Core data storage for application"
"TASK-INF-004","Terraform Module for Azure Blob Storage & Redis","Provision Storage Account with containers for invoices/media (Private access) and Azure Cache for Redis.","Task","Sprint Backlog","Medium","devops.engineer@company.com","system.architect@company.com","2025-05-06","5.2","3","infrastructure,redis,storage,azure","Sprint 1","Establish Secure Cloud Infrastructure & CI/CD Pipeline","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Service Platform","TS-INFRA-002","TASK-INF-001","Terraform,Azure","Low","Low","Storage account created with encryption; Redis instance running; Access keys in Key Vault","Resources deployed; Connectivity tested","2025-05-01","2025-05-14","7%","None","None","Terraform plan","Ensure private endpoint for storage","Support for caching and file uploads"
"TASK-INF-002","Develop Terraform Module for AKS with CNI and RBAC","Provision Azure Kubernetes Service using Azure CNI networking, enabling RBAC integration with Azure AD, and configuring system node pools.","Task","Sprint Backlog","High","devops.engineer@company.com","system.architect@company.com","2025-05-08","10.5","5","kubernetes,aks,security,networking","Sprint 1","Establish Secure Cloud Infrastructure & CI/CD Pipeline","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Service Platform","TS-INFRA-001","TASK-INF-001","Terraform,Kubernetes,Azure","High","High","AKS Cluster running with Azure CNI; AD integration verified; Kubectl access working","Cluster health green; RBAC verified","2025-05-01","2025-05-14","13%","Security Team","Azure AD Permissions","Smoke test cluster","Review CNI IP ranges","Compute platform for microservices"
"TASK-OPS-001","Configure GitHub Actions Workflow for Backend","Create .yml workflow to trigger on PRs, run `npm ci`, `npm run lint`, `npm test`, and build Docker container.","Task","Sprint Backlog","High","devops.engineer@company.com","tech.lead@company.com","2025-05-04","5.2","3","ci-cd,github-actions,automation","Sprint 1","Establish Secure Cloud Infrastructure & CI/CD Pipeline","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Service Platform","US-129","","GitHub Actions,Docker,Node.js","Medium","Low","Workflow triggers on PR; Fails on lint/test errors; Docker build succeeds","Pipeline running successfully on test repo","2025-05-01","2025-05-14","7%","Backend Team","None","Test with failing/passing commits","None","Automates quality checks"
"TASK-OPS-002","Configure Repository Branch Protection Rules","Set up GitHub branch protection to require status checks (CI passing) before merging to main.","Task","Sprint Backlog","Medium","tech.lead@company.com","tech.lead@company.com","2025-05-05","1.1","1","git,governance,security","Sprint 1","Establish Secure Cloud Infrastructure & CI/CD Pipeline","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Service Platform","US-129","TASK-OPS-001","GitHub Administration","Low","Low","Main branch protected; Merging blocked until CI passes; Code owner review required","Branch policies active","2025-05-01","2025-05-14","1%","None","None","Verify merge block","None","Enforces code quality gates"
"TASK-SEC-001","Configure Azure AD B2C User Flows & Claims","Configure the B2C tenant. Create User Flows for Sign Up/Sign In. Define custom attributes for 'Role' and ensure it appears in the JWT.","Task","Sprint Backlog","Critical","backend.dev@company.com","security.architect@company.com","2025-05-07","12","5","security,identity,azure-b2c","Sprint 1","Establish Secure Cloud Infrastructure & CI/CD Pipeline","Security & Identity","EPIC-SECURITY","Warranty Service Platform","US-018","","Azure Identity,XML","High","High","Sign up flow works with MFA; JWT token contains 'extension_Role' claim","JWT verified in jwt.ms; Documentation created","2025-05-01","2025-05-14","15%","Cloud Architect","Azure B2C Availability","Manual signup flow test","Requires Global Admin for initial setup","Foundation for user identity"
"TASK-SEC-002","Implement NestJS Passport JWT Strategy","Implement the `JwtStrategy` using `passport-jwt` to validate the B2C token signature using the JWKS endpoint.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2025-05-09","6","3","backend,nestjs,auth,security","Sprint 1","Establish Secure Cloud Infrastructure & CI/CD Pipeline","Security & Identity","EPIC-SECURITY","Warranty Service Platform","US-018","TASK-SEC-001","NestJS,TypeScript,OAuth2","Medium","Medium","Validates RS256 signature against B2C keys; Rejects expired tokens; Extracts user payload","Strategy implemented; Unit tests passing","2025-05-01","2025-05-14","8%","None","None","Unit tests with mock tokens","None","Secures API endpoints"
"TASK-SEC-003","Implement RBAC Guard and Decorators","Create a custom `@Roles()` decorator and a `RolesGuard` that checks the user's role from the JWT against the required roles.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2025-05-11","5.2","3","backend,nestjs,rbac","Sprint 1","Establish Secure Cloud Infrastructure & CI/CD Pipeline","Security & Identity","EPIC-SECURITY","Warranty Service Platform","US-018","TASK-SEC-002","NestJS,TypeScript","Medium","Low","Guard allows access if roles match; Guard throws 403 if roles mismatch","Guard/Decorator implemented; Integration tests passing","2025-05-01","2025-05-14","7%","None","None","Integration tests on dummy endpoint","None","Enforces authorization rules"
"TASK-WEB-001","Setup Next.js Layout and Auth Guard","Create dashboard layout with sidebar. Implement `AuthGuard` using MSAL for Next.js to protect admin routes.","Task","Sprint Backlog","Medium","frontend.dev@company.com","tech.lead@company.com","2025-05-10","6","3","frontend,nextjs,auth,ui","Sprint 1","Establish Secure Cloud Infrastructure & CI/CD Pipeline","Web Portals","EPIC-WEB","Warranty Service Platform","US-086","TASK-SEC-001","Next.js,React","Medium","Medium","Layout responsive; Redirects to login if unauth; Sidebar navigation works","Base layout committed; Auth redirect verifying against B2C","2025-05-01","2025-05-14","8%","UX Designer","None","Manual auth flow test","None","Foundation for admin portals"
"TASK-PROD-001","Design and Implement Product/Warranty Database Schema","Create TypeORM entities for Product and Warranty. Create migration script. Ensure indexing on serial numbers.","Task","Sprint Backlog","High","backend.dev@company.com","database.architect@company.com","2025-05-16","3","2","backend,database,typeorm","Sprint 2","Core Business Logic: Products, Docs, & Geospatial","Core Backend Services","EPIC-CORE-BE","Warranty Service Platform","US-019","TASK-INF-003","TypeORM,PostgreSQL","Low","Low","Entities created with proper relations; Migration runs successfully; Indexes applied","Migration applied to dev DB; Schema diagram updated","2025-05-15","2025-05-28","4%","None","None","Migration test","Run migration during deployment","Data structure for core entities"
"TASK-PROD-002","Implement Warranty Calculation Logic and Product API","Implement `POST /products`. Use `date-fns` to calculate expiry date (Purchase + Duration - 1). Validate inputs (future dates, duplicates).","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2025-05-18","6","3","backend,api,business-logic","Sprint 2","Core Business Logic: Products, Docs, & Geospatial","Core Backend Services","EPIC-CORE-BE","Warranty Service Platform","US-019","TASK-PROD-001,TASK-SEC-003","NestJS,date-fns","Medium","Low","Products saved with correct expiry; Future dates rejected; Duplicate serials rejected","API working; Integration tests passing","2025-05-15","2025-05-28","8%","None","None","API integration tests","None","Enables product registration"
"TASK-PROD-003","Unit Tests for Warranty Calculation","Write unit tests specifically for the date calculation logic, covering leap years and month boundaries.","Task","Sprint Backlog","Medium","qa.engineer@company.com","backend.dev@company.com","2025-05-19","1.3","1","testing,quality","Sprint 2","Core Business Logic: Products, Docs, & Geospatial","Core Backend Services","EPIC-CORE-BE","Warranty Service Platform","US-019","TASK-PROD-002","Jest","Low","Low","Leap year cases pass; End-of-month cases pass; 100% coverage for calc utility","Tests committed and passing in CI","2025-05-15","2025-05-28","2%","None","None","Unit tests","None","Ensures business logic correctness"
