"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001","Design & Configure AKS Network Topology","Define Virtual Network, Subnets, CNI networking configuration, and Network Security Groups (NSGs) in Terraform.","Task","Sprint Backlog","Critical","platform.arch@company.com","tech.lead@company.com","2024-02-06","4","2","devops,terraform,azure,network","Sprint 1","Establish Cloud Foundation & Identity","Cloud Infrastructure & Operations","EPIC-INFRA","Warranty Platform","US-INFRA-001","","Terraform,Azure Networking","Medium","Low","VNet address space defined; Subnets allocated; Terraform plan validates","Terraform applied in Dev; Network connectivity verified","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","100%","SecOps for NSG rules","Azure Subscription Quota","Infrastructure validation tests","Apply sequentially before AKS","Foundation for all cluster connectivity"
"TASK-INFRA-002","Implement AKS Cluster Terraform Module","Write Terraform code for AKS cluster with System Assigned Managed Identity, RBAC, and Auto-scaling node pools.","Task","Sprint Backlog","Critical","platform.arch@company.com","tech.lead@company.com","2024-02-08","8","5","devops,kubernetes,terraform","Sprint 1","Establish Cloud Foundation & Identity","Cloud Infrastructure & Operations","EPIC-INFRA","Warranty Platform","US-INFRA-001","TASK-INFRA-001","Terraform,Kubernetes","High","Medium","Cluster version pinned; Auto-scaling enabled; OIDC Issuer URL enabled","Cluster accessible via kubectl; Nodes reporting ready","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","100%","None","None","Cluster smoke tests","Requires ~15m provisioning time","Compute runtime for microservices"
"TASK-SEC-001","Azure AD B2C Policy Prototype","Develop and test custom policies (XML) or user flows to include custom claims (roles) in the JWT.","Task","Sprint Backlog","Critical","backend.lead@company.com","security.architect@company.com","2024-02-09","12.7","8","security,identity,azure-b2c","Sprint 1","Establish Cloud Foundation & Identity","Core Backend Microservices","EPIC-BACKEND","Warranty Platform","US-SEC-001","","Azure AD B2C,XML,Identity protocols","High","High","JWT contains extension_role claim; Token signature valid","Prototype validating custom claims via jwt.ms","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","100%","Security Architect for policy review","B2C Tenant Access","Token claim validation","Upload policies to B2C Identity Experience Framework","Enables RBAC for secure API access"
"TASK-INFRA-003","Provision PostgreSQL Flexible Server with PostGIS","Configure Azure Database for PostgreSQL with High Availability, Geo-Redundancy, and PostGIS extension.","Task","Sprint Backlog","High","platform.arch@company.com","tech.lead@company.com","2024-02-12","9.5","5","database,terraform,postgis","Sprint 1","Establish Cloud Foundation & Identity","Cloud Infrastructure & Operations","EPIC-INFRA","Warranty Platform","US-INFRA-001","TASK-INFRA-001","Terraform,PostgreSQL","Medium","Medium","Postgres 16+ provisioned; PostGIS active; Geo-redundancy enabled","Connection verified from temporary Bastion host","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","100%","None","None","Extension verification query","Long provisioning time (30m+)","Spatial data persistence layer"
"TASK-MOB-001","Define WatermelonDB Schema & Sync Strategy","Design local database schema and conflict resolution strategy for offline sync.","Task","Sprint Backlog","High","mobile.lead@company.com","tech.lead@company.com","2024-02-12","10.3","5","mobile,architecture,offline-first","Sprint 1","Establish Cloud Foundation & Identity","Mobile Applications","EPIC-MOBILE","Warranty Platform","US-MOB-001","","React Native,Database Design","High","High","Schema covers Products/Requests; Sync protocol defined; Conflict strategy documented","Architecture document approved by Tech Lead","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","100%","Backend team for sync contract","None","Schema validation","None","Enables offline field operations"
"TASK-SEC-002","Implement NestJS Auth Guard & RBAC Decorators","Create a reusable Auth library for NestJS services that validates JWTs and checks roles.","Task","Sprint Backlog","High","backend.lead@company.com","security.architect@company.com","2024-02-14","12","5","backend,nestjs,security","Sprint 1","Establish Cloud Foundation & Identity","Core Backend Microservices","EPIC-BACKEND","Warranty Platform","US-SEC-001","TASK-SEC-001","NestJS,Passport.js,TypeScript","Medium","Medium","Guard validates token signature; Decorator restricts access; 401/403 returns","Library published to private registry; Unit tests passing","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","100%","None","None","Unit tests with mock tokens","Publish as npm package","Secure backend foundation"
"TASK-DEVOPS-001","Create Reusable GitHub Actions Workflow Templates","Develop composite actions for Build, Test, Scan, and Deploy to be used across all microservices.","Task","Sprint Backlog","Medium","platform.arch@company.com","tech.lead@company.com","2024-02-15","6.3","3","devops,ci-cd,github-actions","Sprint 1","Establish Cloud Foundation & Identity","Cloud Infrastructure & Operations","EPIC-INFRA","Warranty Platform","US-DEVOPS-001","","GitHub Actions,Docker","Medium","Low","Workflows standardized; Docker caching implemented; Secrets handling secure","Workflow successfully runs on sample repo","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","100%","Dev teams for requirements","None","Test run with sample app","Commit to .github/workflows","Automates delivery pipeline"
"TASK-WEB-001","Integrate Mapbox GL JS & Drawing Tools","Implement React component for map rendering and polygon drawing.","Task","Sprint Backlog","Medium","frontend.dev@company.com","product.owner@company.com","2024-02-15","13","5","frontend,react,mapbox","Sprint 1","Establish Cloud Foundation & Identity","Web Administration Portals","EPIC-WEB","Warranty Platform","US-WEB-001","","React,Mapbox","Medium","Medium","Map renders; Polygon drawing tools work; GeoJSON export works","Component verified in Storybook","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","100%","UX for interaction design","Mapbox API Key","Manual interaction testing","Client-side library integration","Enables service area definition"
"TASK-BG-001","Implement Streaming CSV Parser Worker","Create NestJS worker to consume upload events, stream CSV from Blob Storage, validate, and batch insert.","Task","Sprint Backlog","Medium","backend.dev@company.com","tech.lead@company.com","2024-02-16","12","5","backend,nodejs,streams","Sprint 1","Establish Cloud Foundation & Identity","Core Backend Microservices","EPIC-BACKEND","Warranty Platform","US-BG-001","","Node.js Streams,NestJS","Medium","Medium","Memory usage constant; Batch size configurable; Validation errors logged","Unit tests pass with large CSV mock","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","100%","None","None","Performance profiling","Deploy as background worker","Bulk data onboarding"
"TASK-DEVOPS-002","Implement Helm Charts for Microservices","Create a base Helm chart with sub-charts for backend services, defining deployments, services, ingress, and HPA.","Task","Sprint Backlog","High","platform.arch@company.com","tech.lead@company.com","2024-02-21","6.7","3","devops,helm,kubernetes","Sprint 2","Core Services & Real-time Capabilities","Cloud Infrastructure & Operations","EPIC-INFRA","Warranty Platform","US-DEVOPS-001","TASK-INFRA-002","Helm,Kubernetes","Medium","Low","Values.yaml configurable; Ingress SSL configured; HPA exposed","Dry-run install successful in Staging","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-19","2024-03-01","100%","None","None","Helm lint","Push to ACR Helm repo","Standardizes deployment config"
