"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001-A","Design AKS Network Architecture & VNet Topology","Define address spaces, subnets for nodes/pods/services, and network security groups (NSGs).","Task","Sprint Backlog","Critical","devops.lead@platform.com","architect@platform.com","2024-05-24","4","2","infrastructure,networking,azure","Sprint 1","Establish Cloud Infrastructure & Backend Foundation","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","WI-INFRA-001","","Networking,Azure","Medium","Low","VNet topology diagram approved; CIDR ranges defined; NSG rules documented","Architecture document signed off by Security Architect","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","5%","Security Team","None","Configuration review","None","Ensures secure and scalable network foundation"
"TASK-INFRA-001-B","Develop Terraform Module for AKS Cluster","Write HCL code for AKS cluster, node pools (system/user), and identity integration.","Task","Sprint Backlog","Critical","devops.lead@platform.com","architect@platform.com","2024-05-30","10.5","5","infrastructure,terraform,kubernetes","Sprint 1","Establish Cloud Infrastructure & Backend Foundation","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","WI-INFRA-001","TASK-INFRA-001-A","Terraform,Kubernetes","High","Medium","Terraform apply creates cluster; OIDC Issuer URL exposed; Azure CNI configured","Successful terraform plan/apply in dev environment","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","15%","None","Azure Quota availability","Infrastructure testing","Requires Azure Admin credentials","Enables container orchestration"
"TASK-CICD-001-A","Create Reusable GitHub Actions Workflow Template","Develop a composite action or reusable workflow yaml for building Node.js apps, running tests, and linting.","Task","Sprint Backlog","High","devops.engineer@platform.com","devops.lead@platform.com","2024-05-29","5.2","3","devops,cicd,github-actions","Sprint 1","Establish Cloud Infrastructure & Backend Foundation","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","WI-CICD-001","","GitHub Actions,Node.js","Medium","Low","Workflow accepts inputs; Caching configured; Linting/Tests run","Workflow successfully runs on sample repo","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","10%","Backend Team","GitHub Enterprise access","Pipeline execution test","None","Accelerates development velocity"
"TASK-BACK-003-A","Design & Implement PostGIS Service Area Repository","Create TypeORM entities for Service Centers with Geometry columns and implement geospatial query methods.","Task","Sprint Backlog","Critical","backend.lead@platform.com","product.owner@platform.com","2024-05-31","8","5","backend,postgis,typeorm","Sprint 1","Establish Cloud Infrastructure & Backend Foundation","Core Backend Services","EPIC-BACKEND","Warranty Platform","WI-BACK-003","","NestJS,TypeORM,PostGIS","Medium","Medium","Entity supports Polygon; findCoveringCenters query works; Spatial index active","Integration tests passing with test polygons","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","15%","DBA","PostGIS extension enabled","Spatial query unit tests","Requires DB migration","Foundation for routing logic"
"TASK-BACK-005-A","Setup WebSocket Gateway & Auth Guard","Initialize Socket.io Gateway in NestJS and implement JWT authentication guard for WSS connections.","Task","Sprint Backlog","High","backend.dev1@platform.com","backend.lead@platform.com","2024-06-03","6.3","3","backend,websockets,security","Sprint 1","Establish Cloud Infrastructure & Backend Foundation","Core Backend Services","EPIC-BACKEND","Warranty Platform","WI-BACK-005","","NestJS,WebSockets","Medium","Low","Gateway accepts WSS; Handshake fails without valid JWT; User ID extracted","WS client connection test passes","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","10%","Frontend for auth format","None","Socket connection tests","None","Enables real-time chat foundation"
"TASK-MOB-002-A","Design & Setup WatermelonDB Schema","Define local database schema for Tickets, Products, and Notes. Configure WatermelonDB.","Task","Sprint Backlog","Critical","mobile.lead@platform.com","architect@platform.com","2024-05-30","8","5","mobile,database,offline","Sprint 1","Establish Cloud Infrastructure & Backend Foundation","Mobile Applications","EPIC-MOBILE","Warranty Platform","WI-MOB-002","","React Native,Database","High","Medium","Schema matches backend; DB initializes on iOS/Android; Local CRUD works","App launches with DB initialized","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","15%","Backend Team","None","Local DB IO tests","None","Foundation for offline capability"
"TASK-BACK-003-C","Integrate Routing Service with Orchestration Logic","Combine geospatial lookup and round-robin logic into a cohesive RoutingService.","Task","Backlog","Critical","backend.lead@platform.com","product.owner@platform.com","2024-06-14","16.3","8","backend,integration,logic","Sprint 2","Implement Core Logic & Sync","Core Backend Services","EPIC-BACKEND","Warranty Platform","WI-BACK-003","TASK-BACK-003-A,TASK-BACK-003-B","NestJS,Architecture","High","High","Handles no coverage; Returns Center ID; <200ms execution","Integration tests passing","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-10","2024-06-21","25%","None","Redis","Load testing routing logic","None","Automates service dispatch"
"TASK-MOB-002-B","Implement Request Queue & Network Monitor","Create a Redux/Context store to queue mutation actions when offline.","Task","Backlog","Critical","mobile.dev1@platform.com","mobile.lead@platform.com","2024-06-13","12.7","8","mobile,state-management,offline","Sprint 2","Implement Core Logic & Sync","Mobile Applications","EPIC-MOBILE","Warranty Platform","WI-MOB-002","","React Native,State Management","High","Medium","Actions queue when offline; Queue persists restart; Network change triggers sync","Offline/Online toggle tests pass","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-10","2024-06-21","20%","None","None","Network simulation tests","None","Core offline functionality"
"TASK-MOB-002-C","Implement Sync Process & Conflict Resolution","Logic to replay queued requests to backend and handle 409 Conflict responses.","Task","Backlog","Critical","mobile.lead@platform.com","architect@platform.com","2024-06-18","18.3","13","mobile,logic,api","Sprint 2","Implement Core Logic & Sync","Mobile Applications","EPIC-MOBILE","Warranty Platform","WI-MOB-002","TASK-MOB-002-B","React Native,API Integration","Very High","High","FIFO processing; Successful removal; Failed item handling; Server-wins strategy","Integration tests with mock backend pass","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-10","2024-06-21","30%","Backend Team","Idempotent Backend APIs","Conflict resolution scenarios","None","Data integrity for offline work"
"TASK-MOB-003-B","Implement Background Location Service Logic","Integrate react-native-background-geolocation to fetch coords and send via WebSocket.","Task","Backlog","High","mobile.dev2@platform.com","mobile.lead@platform.com","2024-06-17","14.7","8","mobile,location,websockets","Sprint 2","Implement Core Logic & Sync","Mobile Applications","EPIC-MOBILE","Warranty Platform","WI-MOB-003","TASK-MOB-003-A","React Native,WebSockets","High","Critical","Coords captured every 30s background; Sent to WS; Battery optimized","Field test with logging successful","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-10","2024-06-21","25%","Backend Team","Google/Apple Maps APIs","Battery drain test, Background execution test","Requires device permissions","Real-time tracking feature"
