"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INF-001","Develop Network Infrastructure Terraform Module","Create VNet, Subnets, NSGs, and Route Tables to support AKS CNI networking and secure database access.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2024-05-26","6.3","3","devops,terraform,networking","Sprint 1","Establish Secure Cloud Foundation & Authentication Core","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Platform","WI-INFRA-001","","Terraform,Azure Networking","Medium","Low","VNet created with non-overlapping CIDR blocks; Subnets segregated; NSG rules applied","Terraform plan applies without errors; Networking reachable","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-22","2024-06-04","10%","Security Architect","Azure Quota Approval","Infrastructure verification tests","Apply to Dev environment first","Foundation for all compute resources"
"TASK-INF-003","Deploy PostgreSQL Flexible Server with PostGIS","Terraform module for Postgres Flexible Server, Read Replicas, and PostGIS extension activation.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2024-05-29","6","3","database,terraform,postgis","Sprint 1","Establish Secure Cloud Foundation & Authentication Core","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Platform","WI-INFRA-002","TASK-INF-001","Terraform,PostgreSQL,Azure","Medium","Low","PostgreSQL 15+ running; PostGIS extension verified; Read replica configured","Connection verified via private endpoint; Extension query returns version","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-22","2024-06-04","10%","Backend Lead","None","Connectivity tests","Initialize with specific collation settings","Enables geospatial features"
"TASK-BE-001","Configure Passport JWT Strategy for Azure AD B2C","Implement NestJS Passport strategy to validate JWT signature, issuer, and audience from Azure AD B2C OIDC metadata.","Task","Sprint Backlog","Critical","backend.lead@company.com","security.architect@company.com","2024-05-30","10.3","5","security,auth,nestjs","Sprint 1","Establish Secure Cloud Foundation & Authentication Core","Core Backend Services","EPIC-BACKEND","Warranty Platform","WI-BE-001","","NestJS,OAuth2,Passport.js","High","High","Valid B2C tokens decoded; Expired tokens throw 401; Keys fetched from JWKS","Unit tests mocking JWT payload passing; Integration with B2C tenant working","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-22","2024-06-04","20%","Mobile Lead (for token format)","Azure AD B2C Tenant Config","Security integration tests","Secrets management in KeyVault","Secures all API endpoints"
"TASK-MOB-001","Setup WatermelonDB Schema and Models","Define local database schema mirroring backend entities (ServiceRequest, Product) and configure WatermelonDB in React Native.","Task","Sprint Backlog","Critical","mobile.lead@company.com","tech.lead@company.com","2024-05-28","10.3","5","mobile,offline-first,database","Sprint 1","Establish Secure Cloud Foundation & Authentication Core","Mobile Applications","EPIC-MOBILE","Warranty Platform","WI-MOB-001","","React Native,WatermelonDB,SQLite","Medium","Medium","Database initializes; Schema matches backend; CRUD works locally","Schema migration scripts created; Unit tests for models passing","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-22","2024-06-04","20%","Backend Lead (Schema alignment)","None","Local DB persistence tests","None","Enables offline capabilities"
"TASK-INF-002","Configure AKS Cluster and Node Pools via Terraform","Provision AKS managed cluster with system and user node pools, enabling cluster autoscaler and Azure Monitor.","Task","Backlog","High","devops.lead@company.com","tech.lead@company.com","2024-06-10","8.3","5","kubernetes,aks,terraform","Sprint 2","Core Routing Logic & Offline Synchronization","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Platform","WI-INFRA-001","TASK-INF-001","Terraform,Kubernetes","Medium","Medium","AKS Cluster provisioned; RBAC enabled; Autoscaler active","kubectl get nodes returns healthy; Autoscaler functional","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-05","2024-06-18","15%","None","None","Cluster health checks","Verify quota limits","Scalable compute environment"
"TASK-BE-003","Design and Implement Service Area Entity","Create TypeORM entity with PostGIS 'geometry' column for storing Service Center polygons.","Task","Backlog","High","backend.dev@company.com","backend.lead@company.com","2024-06-08","6.3","3","backend,database,gis","Sprint 2","Core Routing Logic & Offline Synchronization","Core Backend Services","EPIC-BACKEND","Warranty Platform","WI-BE-002","TASK-INF-003","TypeORM,PostGIS,TypeScript","Medium","Medium","Entity supports Polygon; Spatial index created; Validation implemented","Migration runs successfully; Entity validated","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-05","2024-06-18","15%","None","None","Migration tests","Requires PostGIS enabled","Enables geospatial routing"
"TASK-MOB-002","Implement Synchronization Logic (Pull/Push)","Develop the sync engine to pull changes from backend and push local changes using WatermelonDB's sync protocol.","Task","Backlog","Critical","mobile.lead@company.com","tech.lead@company.com","2024-06-15","20.7","13","mobile,sync,complex","Sprint 2","Core Routing Logic & Offline Synchronization","Mobile Applications","EPIC-MOBILE","Warranty Platform","WI-MOB-001","TASK-MOB-001","React Native,Offline-first patterns","High","Critical","Pull/Push sync works; Reconnect syncs; Conflict resolution applied","E2E sync simulation passed; Conflict scenarios handled","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-05","2024-06-18","40%","Backend Lead (Sync API)","None","Network interruption tests","None","Core reliability feature"
"TASK-BE-004","Implement Point-in-Polygon Routing Service","Write service logic to query PostGIS using ST_Intersects/ST_Contains to find Service Centers covering a user lat/long.","Task","Backlog","High","backend.lead@company.com","product.owner@company.com","2024-06-12","10.3","5","backend,gis,algorithm","Sprint 2","Core Routing Logic & Offline Synchronization","Core Backend Services","EPIC-BACKEND","Warranty Platform","WI-BE-002","TASK-BE-003","NestJS,SQL,PostGIS","High","Medium","Returns correct Service Center for point; Performance < 100ms","Integration tests with seed data passing; Query plan optimized","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-05","2024-06-18","20%","None","None","Load testing geospatial queries","Ensure spatial indexes active","Automated dispatching"
"TASK-MOB-003","Configure Native Background Location Permissions","Setup Info.plist (iOS) and AndroidManifest.xml for background location, requesting 'Always' and 'Motion' permissions.","Task","Backlog","High","mobile.dev@company.com","mobile.lead@company.com","2024-06-19","5.2","3","mobile,configuration,permissions","Sprint 3","Real-time Tracking & Final Integrations","Mobile Applications","EPIC-MOBILE","Warranty Platform","WI-MOB-002","","React Native,iOS/Android Config","Medium","Medium","Permissions prompted correctly on both OS; Background modes enabled","Verified on physical iOS and Android devices","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-19","2024-07-02","15%","None","App Store Privacy Guidelines","Physical device testing","Update privacy policy URL","Prerequisite for travel mode"
"TASK-BE-005","Setup NestJS Gateway with Redis Adapter","Configure WebSocket gateway, enable Redis IoAdapter for horizontal scaling, and implement connection authentication.","Task","Backlog","High","backend.lead@company.com","tech.lead@company.com","2024-06-22","8","5","backend,websocket,redis","Sprint 3","Real-time Tracking & Final Integrations","Core Backend Services","EPIC-BACKEND","Warranty Platform","WI-BE-004","TASK-BE-001","NestJS,WebSockets,Redis","Medium","Medium","Handles ws:// connections; Redis propogates events; Auth handshake works","Load test with 10k connections; Redis monitor verification","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-19","2024-07-02","20%","DevOps (Redis)","None","WebSocket load testing","Configure sticky sessions if needed","Real-time updates"
"TASK-MOB-004","Develop Signature Capture Component","Implement a signature capture pad in React Native that saves to an image blob.","Task","Backlog","Medium","mobile.dev@company.com","product.owner@company.com","2024-06-25","5","3","mobile,frontend,canvas","Sprint 3","Real-time Tracking & Final Integrations","Mobile Applications","EPIC-MOBILE","Warranty Platform","WI-MOB-003","","React Native,SVG/Canvas","Low","Low","Captures user input; Exports to PNG; Resets on clear","Component reusable; Tested on low-end device","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-19","2024-07-02","10%","None","None","UI/UX testing","None","Digital proof of service"
"TASK-FE-001","Develop Interactive Map Component for Service Areas","Implement Mapbox GL JS component for Admin portal to draw/edit service area polygons.","Task","Backlog","Medium","frontend.dev@company.com","product.owner@company.com","2024-06-28","8","5","frontend,mapbox,react","Sprint 3","Real-time Tracking & Final Integrations","User Experience","EPIC-UX","Warranty Platform","US-002","","React,Mapbox GL JS","Medium","Medium","Draw polygons; Edit vertices; Export GeoJSON","Component integrated in Admin Portal; Accessibility checks passed","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-19","2024-07-02","15%","Backend (GeoJSON format)","Mapbox API Key","Cross-browser testing","None","Visual territory management"
