"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001.1","Design AKS Terraform Module Architecture","Define VNet topology, subnet segregation, and node pool specifications for system and user pools.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2024-06-03","3.2","2","devops,terraform,architecture","Sprint 1","Establish Secure Cloud Infrastructure & Identity Foundation","Cloud Infrastructure & DevOps","EPIC-INFRA","Service Management Platform","WI-INFRA-001","","Terraform,Azure Networking","Medium","Low","VNet design document approved; CIDR ranges allocated","Architecture diagram updated; Peer review complete","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-06-03","2024-06-14","10%","Security Architect","Azure Quota Approval","Configuration validation","None","Foundation for all compute resources"
"TASK-INFRA-001.2","Implement AKS Terraform Configuration","Write Terraform HCL to provision AKS, including OIDC issuer enabling, Azure CNI networking, and RBAC integration.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2024-06-05","8.3","5","devops,terraform,kubernetes","Sprint 1","Establish Secure Cloud Infrastructure & Identity Foundation","Cloud Infrastructure & DevOps","EPIC-INFRA","Service Management Platform","WI-INFRA-001","TASK-INFRA-001.1","Terraform,Kubernetes","High","Medium","Terraform apply successful; Cluster accessible via kubectl","Infrastructure provisioned in staging","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-06-03","2024-06-14","25%","None","None","Infrastructure tests","Apply via CI/CD pipeline","Enables microservice deployment"
"TASK-INFRA-002.1","Implement PostgreSQL Terraform with PostGIS","Define Terraform resource for Flexible Server, enable 'postgis' extension, and configure high availability.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2024-06-06","6","3","devops,database,postgis","Sprint 1","Establish Secure Cloud Infrastructure & Identity Foundation","Cloud Infrastructure & DevOps","EPIC-INFRA","Service Management Platform","WI-INFRA-002","TASK-INFRA-001.1","Terraform,PostgreSQL","Medium","Low","DB Provisioned; PostGIS extension active","Connection test successful","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-06-03","2024-06-14","20%","Backend Lead","None","Connectivity tests","Store credentials in KeyVault","Core data storage availability"
"TASK-AUTH-001.1","Configure Passport JWT Strategy for Azure AD B2C","Implement the passport-jwt strategy to validate tokens against the B2C issuer and audience configuration.","Task","Sprint Backlog","Critical","backend.dev@company.com","security.architect@company.com","2024-06-07","5.2","3","backend,auth,security","Sprint 1","Establish Secure Cloud Infrastructure & Identity Foundation","Identity & Access Management","EPIC-AUTH","Service Management Platform","WI-AUTH-001","","NestJS,Passport.js","Medium","High","Token signature validated; Audience/Issuer checked","Unit tests passing; Mock B2C integration verified","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-06-03","2024-06-14","20%","None","Azure AD B2C Config","Security unit tests","Env vars for B2C required","Secures API endpoints"
"TASK-AUTH-001.2","Implement Roles Guard and Decorator","Create custom @Roles() decorator and guard to enforce RBAC based on JWT claims.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-06-10","4.2","2","backend,auth,rbac","Sprint 1","Establish Secure Cloud Infrastructure & Identity Foundation","Identity & Access Management","EPIC-AUTH","Service Management Platform","WI-AUTH-001","TASK-AUTH-001.1","NestJS,TypeScript","Medium","Low","Decorator applies metadata; Guard blocks unauthorized access","Integration tests for RBAC passing","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-06-03","2024-06-14","15%","None","None","Controller tests with roles","None","Enforces authorization rules"
"TASK-MOBILE-003.1","Design Local Database Schema & Sync Strategy","Define WatermelonDB schema and conflict resolution strategy for offline-first architecture.","Task","Sprint Backlog","Critical","mobile.lead@company.com","tech.lead@company.com","2024-06-11","6","3","mobile,architecture,offline","Sprint 1","Establish Secure Cloud Infrastructure & Identity Foundation","Mobile Application Development","EPIC-MOBILE","Service Management Platform","WI-MOBILE-003","","React Native,Database Design","High","Critical","Schema diagram approved; Sync protocol defined","Architecture document signed off","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-06-03","2024-06-14","20%","Backend Lead","None","None","None","Enables offline capability development"
"TASK-CORE-001.1","Define State Machine Logic and Interfaces","Define the state enum, permitted transitions, and interface definitions for service request lifecycle.","Task","Sprint Backlog","High","backend.lead@company.com","product.owner@company.com","2024-06-18","3","1","backend,design","Sprint 2","Core Business Logic & Offline Mobile Architecture","Core Backend Microservices","EPIC-CORE-SERVICES","Service Management Platform","WI-CORE-001","","System Design,TypeScript","Low","Low","State diagram approved; Enums defined","Code interfaces merged","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-06-17","2024-06-28","10%","Product Owner","None","None","None","Standardizes business process"
"TASK-MOBILE-003.2","Implement WatermelonDB Setup and Models","Install WatermelonDB, configure native adapters, and implement Model classes.","Task","Sprint Backlog","High","mobile.dev@company.com","mobile.lead@company.com","2024-06-20","8.3","5","mobile,database,watermelon-db","Sprint 2","Core Business Logic & Offline Mobile Architecture","Mobile Application Development","EPIC-MOBILE","Service Management Platform","WI-MOBILE-003","TASK-MOBILE-003.1","React Native,WatermelonDB","Medium","Medium","DB initializes; Models CRUD functional","Unit tests for models passing","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-06-17","2024-06-28","30%","None","None","Local DB tests","Requires native rebuild","Foundation for offline data"
"TASK-CORE-002.1","Implement PostGIS Geometry Columns","Create migration for geometry columns and update TypeORM entities for geospatial data.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-06-21","5.2","3","backend,database,postgis","Sprint 2","Core Business Logic & Offline Mobile Architecture","Core Backend Microservices","EPIC-CORE-SERVICES","Service Management Platform","WI-CORE-002","TASK-INFRA-002.1","PostgreSQL,TypeORM","Medium","Low","Migration applied; Entities accept GeoJSON","Migration tested on staging DB","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-06-17","2024-06-28","20%","None","None","DB Migration tests","Run migration during deployment","Enables location-based features"
"TASK-MOBILE-003.3","Implement Network Monitor and Request Queue","Create service to monitor network and queue offline writes to local DB.","Task","Sprint Backlog","Critical","mobile.lead@company.com","tech.lead@company.com","2024-06-24","12","5","mobile,offline,network","Sprint 2","Core Business Logic & Offline Mobile Architecture","Mobile Application Development","EPIC-MOBILE","Service Management Platform","WI-MOBILE-003","TASK-MOBILE-003.2","React Native,State Management","High","Medium","Offline writes queued; Network changes detected","Queue persistence verified","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-06-17","2024-06-28","40%","None","None","Network simulation tests","None","Ensures data reliability"
"TASK-REALTIME-001.1","Setup NestJS WebSocket Gateway with Redis Adapter","Initialize Gateway and configure Redis Adapter for Pub/Sub scaling.","Task","Sprint Backlog","High","backend.lead@company.com","tech.lead@company.com","2024-07-03","6.3","3","backend,websockets,redis","Sprint 3","Real-Time Features & Biometric Security","Real-Time Communication & Tracking","EPIC-REALTIME","Service Management Platform","WI-REALTIME-001","","NestJS,Socket.io,Redis","High","Medium","Gateway accepts connections; Broadcasts scale across pods","Load test basic connection limit","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-07-01","2024-07-12","20%","DevOps","Redis instance","Concurrency tests","Sticky sessions ingress config","Infrastructure for live tracking"
"TASK-AUTH-003.1","Configure React Native App Auth","Integrate react-native-app-auth with Azure AD B2C.","Task","Sprint Backlog","High","mobile.dev@company.com","security.architect@company.com","2024-07-04","8.3","5","mobile,auth,azure-ad","Sprint 3","Real-Time Features & Biometric Security","Identity & Access Management","EPIC-AUTH","Service Management Platform","WI-AUTH-003","","React Native,OIDC","Medium","High","Login redirects correctly; Tokens received","Login flow verified on device","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-07-01","2024-07-12","30%","Security Architect","Azure AD B2C App Registration","Manual auth flow test","Configure URL schemes","Mobile user access"
"TASK-AUTH-003.2","Implement Secure Token Storage with Biometric Access","Implement encrypted storage for tokens protected by Biometric prompt.","Task","Sprint Backlog","High","mobile.dev@company.com","mobile.lead@company.com","2024-07-08","8.3","3","mobile,security,biometrics","Sprint 3","Real-Time Features & Biometric Security","Identity & Access Management","EPIC-AUTH","Service Management Platform","WI-AUTH-003","TASK-AUTH-003.1","React Native,Mobile Security","Medium","Medium","Tokens stored encrypted; Biometrics required for access","Tested on FaceID and Fingerprint devices","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-07-01","2024-07-12","30%","None","None","Device security tests","None","Enhanced usability and security"
"TASK-REALTIME-001.2","Implement WebSocket Authentication Guard","Secure WS connection using JWT strategy.","Task","Sprint Backlog","High","backend.dev@company.com","backend.lead@company.com","2024-07-09","5.5","3","backend,websockets,security","Sprint 3","Real-Time Features & Biometric Security","Real-Time Communication & Tracking","EPIC-REALTIME","Service Management Platform","WI-REALTIME-001","TASK-REALTIME-001.1","NestJS,WebSockets","Medium","Medium","Authorized connection accepted; Unauthorized rejected","Auth guard tests passing","2024-05-23T09:00:00Z","2024-05-23T09:00:00Z","2024-07-01","2024-07-12","20%","None","None","Integration tests","None","Secures real-time data"
