"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INF-001","Design and Provision Azure Networking (VNet)","Define Terraform modules for Virtual Networks, Subnets (AKS, Data, Gateway), and NSGs.","Task","Sprint Backlog","Critical","devops.lead@company.com","architect@company.com","2024-02-05","5.2","3","terraform,azure,networking,infrastructure","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","US-INFRA-001","","Terraform,Azure Networking","Medium","Low","VNet created; Subnets delegated; NSG rules active","Terraform apply successful; Network reachability verified","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","10%","Security Team","Azure Subscription Quota","Infrastructure verification tests","Apply to Dev environment first","Foundation for all other resources"
"TASK-INF-002","Provision AKS Cluster with RBAC and CNI","Develop Terraform module for AKS including CNI networking and Azure AD RBAC.","Task","Sprint Backlog","Critical","devops.lead@company.com","architect@company.com","2024-02-07","10.3","5","kubernetes,aks,terraform,security","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","US-INFRA-001","TASK-INF-001","Terraform,Kubernetes","High","Medium","Cluster provisioned; RBAC login working; CNI IP allocation correct","kubectl get nodes returns Ready; Admin login verified","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","20%","None","None","Cluster smoke tests","Requires VNet from Task 001","Compute layer for microservices"
"TASK-INF-003","Provision PostgreSQL Flexible Server with PostGIS","Configure Terraform for PostgreSQL, Geo-Redundancy, Private Endpoint, and PostGIS.","Task","Sprint Backlog","High","backend.lead@company.com","architect@company.com","2024-02-08","6.3","3","database,postgresql,terraform,postgis","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","US-INFRA-001","TASK-INF-001","Terraform,PostgreSQL","Medium","Medium","DB accessible from VNet; PostGIS extension active","Connection verified from ephemeral pod","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","15%","None","None","Connectivity tests","Enable PostGIS after creation","Data persistence layer"
"TASK-CICD-001","Create NestJS CI Workflow","Build reusable GitHub Action for linting, testing, and building NestJS apps.","Task","Sprint Backlog","High","backend.dev@company.com","devops.lead@company.com","2024-02-09","6.3","3","ci/cd,github-actions,nestjs","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Platform","US-INFRA-CI","","GitHub Actions,Node.js","Low","Low","Pipeline runs on PR; Artifacts generated","Green build on sample repo","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","15%","None","None","Pipeline execution","None","Development velocity"
"TASK-SEC-001","Implement Passport Azure AD Strategy","Configure NestJS Passport with Azure AD strategy to validate B2C tokens.","Task","Sprint Backlog","Critical","backend.lead@company.com","architect@company.com","2024-02-12","5.2","3","security,auth,nestjs,b2c","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Identity & Access Management","EPIC-AUTH","Warranty Platform","US-SEC-001","","NestJS,Passport.js","Medium","High","Tokens validated; Identity injected into request","Unit tests passing with mock tokens","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","10%","Identity Team","B2C Tenant Config","Unit tests","Env vars for B2C required","Secure API access"
"TASK-MOB-001","React Native MSAL Configuration & Linking","Install/configure react-native-msal, setup URL schemes for iOS and Android.","Task","Sprint Backlog","Critical","mobile.dev@company.com","architect@company.com","2024-02-13","8.7","5","mobile,react-native,ios,android,auth","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Identity & Access Management","EPIC-AUTH","Warranty Platform","US-MOB-001","","React Native,iOS,Android","High","Medium","Library links; App builds; Redirect scheme registered","App launches on simulators with MSAL initialized","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","20%","None","Apple Developer Account","Build verification","Requires bundle ID registration","Mobile security foundation"
"TASK-MOB-002","Implement Mobile Auth Provider & Login Flow","Create AuthContext provider to handle login, logout, token acquisition.","Task","Sprint Backlog","High","mobile.dev@company.com","mobile.lead@company.com","2024-02-16","16","8","mobile,react-native,state-management","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Identity & Access Management","EPIC-AUTH","Warranty Platform","US-MOB-001","TASK-MOB-001","React Native,MSAL","Medium","Medium","User signs in via B2C; Token stored; Silent refresh works","Successful login on device","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-05","2024-02-16","35%","None","B2C User Flows","Manual login test","None","User access"
"TASK-SERV-001","Implement PostGIS Point-in-Polygon Query","Create TypeORM query to find Service Centers coverage based on user location.","Task","Sprint Planning","High","backend.dev@company.com","backend.lead@company.com","2024-02-21","8","3","backend,postgis,typeorm,routing","Sprint 2","Core Business Logic: Routing & OCR","Service Request Management","EPIC-SERVICE","Warranty Platform","US-FEAT-001","TASK-INF-003","NestJS,PostGIS","Medium","Medium","Identifies correct SC; Handles edge cases","Integration tests passing with polygon data","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-19","2024-03-01","20%","None","None","Geo-spatial unit tests","None","Automated dispatching"
"TASK-PROD-001","Create File Upload Endpoint","Implement NestJS controller for multipart file uploads to Azure Blob Storage.","Task","Sprint Planning","Medium","backend.lead@company.com","architect@company.com","2024-02-22","6","3","backend,azure-storage,api","Sprint 2","Core Business Logic: Routing & OCR","Product & Warranty Management","EPIC-PRODUCT","Warranty Platform","US-FEAT-002","TASK-SEC-002","NestJS,Azure Storage","Low","Low","File uploaded; Metadata saved; Event published","API test successful","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-19","2024-03-01","15%","None","Azure Storage Account","Upload integration test","None","Input for OCR"
"TASK-PROD-002","Implement OCR Processor Worker","Service to consume upload events and call Azure AI Document Intelligence.","Task","Sprint Planning","Medium","backend.lead@company.com","architect@company.com","2024-02-26","10","5","backend,ai,ocr,worker","Sprint 2","Core Business Logic: Routing & OCR","Product & Warranty Management","EPIC-PRODUCT","Warranty Platform","US-FEAT-002","TASK-PROD-001","NestJS,Azure AI","Medium","Medium","Consumes queue; Extracts fields; Retries on error","Integration test processing sample invoice","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-19","2024-03-01","25%","None","Azure AI Resource","Worker unit tests","None","Automated data entry"
"TASK-SERV-008","Define WatermelonDB Schema","Setup local database schema for Products, Warranties, and Sync Status.","Task","Sprint Planning","High","mobile.dev@company.com","mobile.lead@company.com","2024-02-22","5.2","3","mobile,database,offline","Sprint 2","Core Business Logic: Routing & OCR","Service Request Management","EPIC-SERVICE","Warranty Platform","US-FEAT-004","","React Native,WatermelonDB","Medium","Medium","Schema defined; DB initializes","DB initialization verified in app","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-19","2024-03-01","15%","None","None","Schema unit tests","None","Offline capability"
"TASK-SERV-009","Implement Synchronization Logic (Pull)","Develop logic to pull changes from backend and update local WatermelonDB.","Task","Sprint Planning","High","mobile.dev@company.com","mobile.lead@company.com","2024-02-28","10.3","5","mobile,sync,offline","Sprint 2","Core Business Logic: Routing & OCR","Service Request Management","EPIC-SERVICE","Warranty Platform","US-FEAT-004","TASK-SERV-008","React Native,WatermelonDB","High","High","Records synced down; Updates applied","Sync test with mock endpoint","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-02-19","2024-03-01","25%","Backend Team","None","Sync conflict tests","None","Data availability"
"TASK-SERV-004","Configure Native Location Permissions","Setup Info.plist and Android Manifest for background location services.","Task","Sprint Planning","Critical","mobile.dev@company.com","mobile.lead@company.com","2024-03-06","8","3","mobile,native,permissions,location","Sprint 3","Real-time Tracking & Offline UX","Service Request Management","EPIC-SERVICE","Warranty Platform","US-FEAT-003","","React Native,iOS,Android","High","High","Permissions requested correctly; Store compliant","Permissions verified on physical devices","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-03-04","2024-03-15","20%","None","None","Manual permission test","None","Enables tracking feature"
"TASK-SERV-005","Implement Background Location Service","Integrate background-geolocation to capture coordinates when app is killed.","Task","Sprint Planning","Critical","mobile.dev@company.com","mobile.lead@company.com","2024-03-11","16","8","mobile,location,background-task","Sprint 3","Real-time Tracking & Offline UX","Service Request Management","EPIC-SERVICE","Warranty Platform","US-FEAT-003","TASK-SERV-004","React Native,Native Modules","High","Critical","Coords logged in background; Survives termination","Field test successful","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-03-04","2024-03-15","40%","None","None","Battery drain test","None","Technician visibility"
"TASK-SERV-007","Backend WebSocket Gateway for Location","NestJS Gateway to receive coordinates and broadcast to customers.","Task","Sprint Planning","High","backend.dev@company.com","architect@company.com","2024-03-08","11.7","5","backend,websocket,real-time","Sprint 3","Real-time Tracking & Offline UX","Service Request Management","EPIC-SERVICE","Warranty Platform","US-FEAT-003","","NestJS,WebSockets","Medium","Medium","Receives/Broadcasts location; <200ms latency","Load test with multiple sockets","2024-02-01T09:00:00Z","2024-02-01T09:00:00Z","2024-03-04","2024-03-15","30%","Mobile Team","None","Latency test","None","Live updates"
