"task_id","title","description","type","status","priority","assignee","due_date","estimated_hours","story_points","sprint","epic_id","dependencies","skills_required","risk_level","acceptance_criteria"
"TASK-INFRA-001-01","Design AKS Network Architecture","Define VNet topology, subnets, Azure CNI networking strategy, and Network Security Groups (NSGs) for Zero Trust compliance.","Task","Sprint Backlog","Critical","devops.lead@company.com","2024-01-10","4","3","Sprint 1","EPIC-INFRA","","Azure Networking,Security Architecture","Medium","Network topology diagram approved; IP ranges calculated"
"TASK-INFRA-001-02","Develop Terraform Module for AKS Cluster","Write Terraform HCL to provision the managed Kubernetes cluster resource, enabling Azure AD RBAC and monitoring.","Task","Sprint Backlog","Critical","devops.eng@company.com","2024-01-15","8","5","Sprint 1","EPIC-INFRA","TASK-INFRA-001-01","Terraform,Azure AKS","Medium","Terraform apply successful; RBAC enabled"
"TASK-INFRA-001-03","Configure AKS Node Pools","Define Terraform resources for System and User node pools with autoscaling rules enabled.","Task","Sprint Backlog","High","devops.eng@company.com","2024-01-17","5.2","3","Sprint 1","EPIC-INFRA","TASK-INFRA-001-02","Terraform,Kubernetes","Low","System and User pools isolated; Autoscaling verified"
"TASK-BE-001-01","Configure Passport-JWT Strategy for Azure AD B2C","Implement the Passport strategy to validate JWT signature, issuer, and audience against Azure AD B2C metadata.","Task","Sprint Backlog","Critical","backend.senior@company.com","2024-01-12","5.2","3","Sprint 1","EPIC-BACKEND","","NestJS,Passport.js,OAuth2","High","Valid B2C tokens accepted; Invalid tokens rejected"
"TASK-BE-001-02","Implement Role Guard and Decorator","Create the @Roles() decorator and the RolesGuard to check user roles against required endpoint roles.","Task","Sprint Backlog","High","backend.dev@company.com","2024-01-16","3.2","2","Sprint 1","EPIC-BACKEND","TASK-BE-001-01","NestJS,TypeScript","Low","Decorators enforce role constraints on controllers"
"TASK-MOB-001-01","Design and Implement Local Database Schema","Setup WatermelonDB or Realm with schema for storing queued requests and local data cache.","Task","Sprint Backlog","High","mobile.lead@company.com","2024-01-15","6.3","3","Sprint 1","EPIC-MOBILE","","React Native,WatermelonDB","Medium","Local DB initializes; Schema migration successful"
"TASK-WEB-002-01","Integrate Mapbox GL JS","Setup Mapbox map component, handle API key security, and basic map rendering.","Task","Sprint Backlog","Medium","frontend.dev@company.com","2024-01-18","5.2","3","Sprint 1","EPIC-WEB","","React,Mapbox GL JS","Low","Map renders; Controls functional; API key secured"
"TASK-BE-004-01","Setup WebSocket Gateway with Redis Adapter","Initialize Gateway, configure Redis IoAdapter for horizontal scaling, and implement connection handling.","Task","Sprint Backlog","High","backend.senior@company.com","2024-01-25","6.3","3","Sprint 2","EPIC-BACKEND","TASK-INFRA-001-02","NestJS,WebSockets,Redis","High","Gateway accepts connections; Messages propagate via Redis"
"TASK-BE-004-02","Implement WebSocket Authentication Handshake","Secure the WebSocket connection by validating JWTs during the handshake phase, using the existing Auth module.","Task","Sprint Backlog","Critical","backend.dev@company.com","2024-01-29","5.2","3","Sprint 2","EPIC-BACKEND","TASK-BE-004-01,TASK-BE-001-01","NestJS,WebSockets,JWT","Medium","Secure handshake validates JWT before connection"
"TASK-MOB-001-02","Implement Network Status Monitor & Queue Logic","Create a hook to monitor connectivity and a service to add/remove items from the offline queue.","Task","Sprint Backlog","High","mobile.lead@company.com","2024-01-30","8","5","Sprint 2","EPIC-MOBILE","TASK-MOB-001-01","React Native,State Management","Medium","Offline state detected; Requests persist to local DB"
"TASK-WEB-002-02","Implement Polygon Drawing Controls","Add Mapbox Draw plugin, configure for polygon mode only, and manage drawing state.","Task","Sprint Backlog","High","frontend.dev@company.com","2024-01-26","8","5","Sprint 2","EPIC-WEB","TASK-WEB-002-01","React,Mapbox Draw","Medium","User can draw/edit polygons; State managed in React"
"TASK-WEB-002-03","Implement GeoJSON Validation and Export","Validate drawn shapes (closed loops, no self-intersections) and export as GeoJSON for API submission.","Task","Sprint Backlog","Medium","frontend.dev@company.com","2024-01-31","6.3","3","Sprint 2","EPIC-WEB","TASK-WEB-002-02","Turf.js,GeoJSON","Medium","Self-intersections detected; Valid GeoJSON output"
"TASK-INFRA-001-04","Perform Infrastructure Security Scan & Validation","Run tfsec or checkov against the codebase, fix violations, and execute a deployment to the Dev environment.","Task","Sprint Backlog","Medium","devops.lead@company.com","2024-01-24","4.3","2","Sprint 2","EPIC-INFRA","TASK-INFRA-001-03","DevSecOps,Terraform","Low","Security scan passed; Dev environment operational"
"TASK-BE-004-03","Implement Location Broadcast Logic","Develop logic to handle 'location_update' events, validate payload, and broadcast to the specific room for the Service Request.","Task","Sprint Backlog","High","backend.senior@company.com","2024-02-06","6.3","3","Sprint 3","EPIC-BACKEND","TASK-BE-004-02","NestJS,WebSockets","Medium","Technician/User room join works; Location propagates"
"TASK-MOB-001-03","Develop Sync Processor with Retry Logic","Build the background process that iterates through the queue when online, attempts to send requests, and handles failures.","Task","Sprint Backlog","Critical","mobile.lead@company.com","2024-02-08","10","5","Sprint 3","EPIC-MOBILE","TASK-MOB-001-02","React Native,TypeScript","High","Queue processes FIFO; Retry backoff functional"
"TASK-MOB-002-01","Implement Camera Capture Component","Create a reusable camera component handling permissions, capture, and basic image manipulation.","Task","Sprint Backlog","Medium","mobile.dev@company.com","2024-02-07","5.2","3","Sprint 3","EPIC-MOBILE","","React Native,Vision Camera","Medium","Photo capture works; Permissions handled"
"TASK-MOB-002-02","Integrate Azure Blob Upload and OCR API","Upload captured image to Azure Storage, trigger OCR API, and map response to form state.","Task","Sprint Backlog","Medium","mobile.dev@company.com","2024-02-12","6.3","3","Sprint 3","EPIC-MOBILE","TASK-MOB-002-01","React Native,REST API","Medium","Image uploaded; OCR data mapped to fields"
"TASK-WEB-002-04","Ensure Accessibility for Map Tools","Implement keyboard navigation or alternative input methods for map drawing to meet WCAG 2.1 AA.","Task","Sprint Backlog","High","frontend.dev@company.com","2024-02-14","16","8","Sprint 3","EPIC-WEB","TASK-WEB-002-01","React,Accessibility","High","Keyboard accessible; Screen reader compatible"
"TASK-BE-004-04","Perform Load Testing on WebSocket Gateway","Simulate high concurrency of connections and message throughput to verify scaling and latency requirements.","Task","Sprint Backlog","Medium","devops.eng@company.com","2024-02-15","4","2","Sprint 3","EPIC-BACKEND","TASK-BE-004-03","k6,Performance Testing","Medium","1000 concurrent connections stable; <200ms latency"
"TASK-BE-001-03","Develop Unit and Integration Tests for Auth Module","Write comprehensive tests covering token validation, role checking, and failure scenarios.","Task","Sprint Backlog","High","backend.dev@company.com","2024-02-16","5.2","3","Sprint 3","EPIC-BACKEND","TASK-BE-001-02","Jest,Supertest","Low",">90% coverage; Edge cases covered"
