"task_id","title","description","type","status","priority","assignee","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","parent_id","dependencies","skills_required","risk_level","acceptance_criteria","capacity_allocation","testing_requirements","business_value"
"TASK-INF-001","Design AKS Network Architecture & Terraform Modules","Define VNet subnets, NSGs, and CIDR ranges. Create base Terraform module structure for AKS.","Task","Sprint Backlog","Critical","devops.lead@company.com","2025-05-03","5.2","3","devops,terraform,azure-networking","Sprint 1","Establish the cloud foundation, security baseline, and audit logging infrastructure.","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","WI-INFRA-001","","Terraform,Azure Networking","Medium","Network topology diagram approved; Terraform module skeleton created; IP address plan validated","100%","Architecture Review","Foundational network setup"
"TASK-INF-002","Implement AKS Cluster Resource Definition","Write Terraform code for AKS Managed Cluster, Node Pools, and RBAC integration with Azure AD.","Task","Sprint Backlog","Critical","devops.lead@company.com","2025-05-06","10.3","5","devops,kubernetes,iam","Sprint 1","Establish the cloud foundation, security baseline, and audit logging infrastructure.","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","WI-INFRA-001","TASK-INF-001","Terraform,Kubernetes","Medium","Cluster provisions successfully; Node pools configured; Azure AD RBAC enabled","100%","Terraform Plan/Apply","Core compute infrastructure"
"TASK-INF-003","Configure ACR and AKS Attachment","Provision Azure Container Registry and configure AcrPull role assignment for AKS kubelet identity.","Task","Sprint Backlog","High","devops.engineer@company.com","2025-05-07","4","2","devops,azure,security","Sprint 1","Establish the cloud foundation, security baseline, and audit logging infrastructure.","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","WI-INFRA-001","TASK-INF-002","Terraform,Azure IAM","Low","ACR provisioned; AKS can pull images without secrets; Vulnerability scanning enabled","100%","Smoke test: pod pull image","Secure container registry"
"TASK-INF-004","Validate Infrastructure Security (tfsec)","Run tfsec against all modules and remediate critical/high vulnerabilities.","Task","Sprint Backlog","High","security.engineer@company.com","2025-05-08","6.3","3","security,compliance,devsecops","Sprint 1","Establish the cloud foundation, security baseline, and audit logging infrastructure.","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","WI-INFRA-001","TASK-INF-002,TASK-INF-003","DevSecOps,Terraform","Medium","Zero critical/high issues in tfsec report; Encryption verified; NSGs verified","100%","Automated Security Scan","Security compliance baseline"
"TASK-BE-001","Design Geospatial Entity Model & Repository","Define TypeORM entity for ServiceCenter with Geometry column. Design repository methods for spatial queries.","Task","Sprint Backlog","High","backend.architect@company.com","2025-05-09","5.2","3","backend,database,postgis","Sprint 1","Establish the cloud foundation, security baseline, and audit logging infrastructure.","Core Backend Services","EPIC-CORE-BE","WI-BE-004","TASK-INF-002","NestJS,TypeORM,PostGIS","Low","Entity definition includes Geometry column; Migration script created; Spatial index defined","100%","Migration execution","Foundation for location services"
"WI-AUD-001","Implement Audit Log Consumer","Implement NestJS consumer for Service Bus to index critical actions into OpenSearch.","Task","Sprint Backlog","High","backend.dev@company.com","2025-05-10","8","5","backend,audit,opensearch","Sprint 1","Establish the cloud foundation, security baseline, and audit logging infrastructure.","Audit & Compliance","US-AUDIT-001","US-AUDIT-001","TASK-INF-002","NestJS,Azure Service Bus,OpenSearch","Low","Events persisted to OpenSearch; No PII logged in clear text; Backpressure handled","100%","Integration Test","Regulatory compliance"
"TASK-BE-002","Implement ST_Contains Query Logic","Write TypeORM query builder logic to find service centers covering a given lat/long point.","Task","Sprint Backlog","Critical","backend.dev@company.com","2025-05-15","10.3","5","backend,postgis,optimization","Sprint 2","Deliver core backend logic for products and routing, and enable admin configuration UI.","Core Backend Services","EPIC-CORE-BE","WI-BE-004","TASK-BE-001","SQL,PostGIS,NestJS","Medium","Query returns correct ServiceCenters; Handles edge cases; Execution < 100ms","100%","Unit tests with test database","Core routing functionality"
"TASK-BE-003","Implement Round-Robin Assignment Strategy","Implement Redis-based counter to distribute load among multiple eligible service centers found by geo-lookup.","Task","Sprint Backlog","Medium","backend.dev@company.com","2025-05-17","8","3","backend,redis,algorithm","Sprint 2","Deliver core backend logic for products and routing, and enable admin configuration UI.","Core Backend Services","EPIC-CORE-BE","WI-BE-004","TASK-BE-002","Redis,NestJS,Algorithms","Medium","Atomic counter increment; Correct rotation; Fallback logic","100%","Concurrent load test simulation","Fair workload distribution"
"TASK-BE-004","Create Routing Service API Endpoint","Expose the routing logic via a REST endpoint accepting lat/long and returning assigned Service Center.","Task","Sprint Backlog","High","backend.dev@company.com","2025-05-19","4","2","backend,api,rest","Sprint 2","Deliver core backend logic for products and routing, and enable admin configuration UI.","Core Backend Services","EPIC-CORE-BE","WI-BE-004","TASK-BE-003","NestJS,API Design","Low","POST endpoint active; Input validation; Returns 404 appropriately","100%","E2E API Test","Service accessibility"
"WI-BE-003","Implement Invoice OCR Worker","Implement background worker for processing invoice uploads using Azure AI Document Intelligence.","Task","Sprint Backlog","High","backend.ai.dev@company.com","2025-05-18","12","5","backend,ai,ocr","Sprint 2","Deliver core backend logic for products and routing, and enable admin configuration UI.","Core Backend Services","EPIC-CORE-BE","US-CORE-001","TASK-INF-003","NestJS,Azure AI","Medium","Handles PDF/Image; Retries on failure; Updates product entity","100%","Unit & Integration Tests","Automated data entry"
