"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","capacity_allocation","risk_mitigation"
"TASK-INFRA-001","Design and Implement VNet Architecture (Terraform)","Define Virtual Network, Subnets (AKS, Gateway, PrivateLink), and NSG rules using Terraform AzureRM provider.","Task","Sprint Backlog","Critical","devops.lead@company.com","architect@company.com","2024-06-05","8","3","terraform,azure,networking","Sprint 1","Establish Core Infrastructure and Authentication Foundation","Core Infrastructure & DevOps","EPIC-INFRA","Warranty Service Platform","","Terraform,Azure Networking","High","Medium","VNet created with non-overlapping CIDR; Subnets isolated; NSGs configured","Terraform applied successfully; VNet accessible","10%","Review CIDR ranges with NetSec team"
"TASK-INFRA-004","Provision PostgreSQL Flexible Server (Terraform)","Deploy PostgreSQL Flexible Server with High Availability (Zone Redundant) and Private Endpoint connection to VNet.","Task","Sprint Backlog","Critical","devops.lead@company.com","architect@company.com","2024-06-06","6.3","3","database,terraform,postgresql","Sprint 1","Establish Core Infrastructure and Authentication Foundation","Core Infrastructure & DevOps","EPIC-INFRA","Warranty Service Platform","TASK-INFRA-001","Terraform,Azure SQL","Medium","Low","Postgres running in VNet; HA enabled; Private Link DNS working","Connection verified from temporary VM in VNet","8%",""
"TASK-INFRA-005","Configure PostGIS and Database Schema Initialization","Create initialization scripts to enable 'postgis' extension and set up initial database roles/users for microservices.","Task","Sprint Backlog","High","backend.lead@company.com","architect@company.com","2024-06-07","4.3","2","database,postgis,sql","Sprint 1","Establish Core Infrastructure and Authentication Foundation","Core Infrastructure & DevOps","EPIC-INFRA","Warranty Service Platform","TASK-INFRA-004","PostgreSQL,Bash","Medium","Medium","PostGIS extension enabled; App users created; Migration pipeline ready","Script executes successfully on fresh DB","5%","RISK-PERF-005: Validate geospatial query plans early"
"TASK-AUTH-001","Implement NestJS Passport Azure AD Strategy","Develop auth module using `passport-azure-ad`. Configure JWT validation against B2C metadata endpoint.","Task","Sprint Backlog","High","backend.dev1@company.com","backend.lead@company.com","2024-06-08","10.3","5","backend,nestjs,auth,security","Sprint 1","Establish Core Infrastructure and Authentication Foundation","Authentication & User Management","EPIC-AUTH","Warranty Service Platform","","NestJS,OAuth2","High","High","JWT validation against B2C; 401 on invalid tokens","Unit tests passing; Module integrated","13%","RISK-SEC-002: Implement automated token validation tests"
"TASK-SERV-005","Setup WebSocket Gateway with Redis Adapter","Configure NestJS WebSocket module. Implement Redis adapter for horizontal scaling of socket servers.","Task","Sprint Backlog","High","backend.dev2@company.com","backend.lead@company.com","2024-06-10","10.3","5","backend,websocket,redis","Sprint 1","Establish Core Infrastructure and Authentication Foundation","Service Request Lifecycle","EPIC-SERVICE","Warranty Service Platform","","NestJS,Redis,Socket.io","Medium","Medium","WS server accepts connections; Redis propagates messages","Load test with 100 concurrent connections","13%",""
"TASK-APP-004","Setup WatermelonDB Schema and Database","Define local schema for Service Requests, Notes, and Products. Configure WatermelonDB adapter for iOS/Android.","Task","Sprint Backlog","High","mobile.dev@company.com","mobile.lead@company.com","2024-06-12","14","5","mobile,react-native,database,offline","Sprint 1","Establish Core Infrastructure and Authentication Foundation","Frontend Applications (Web & Mobile)","EPIC-APPS","Warranty Service Platform","","React Native,Database Design","Medium","Medium","Local DB initializes; Schema matches backend; CRUD works offline","Schema verified on iOS and Android simulators","18%",""
"TASK-INFRA-002","Provision AKS Cluster with CNI Networking","Create AKS cluster module with Azure CNI, Node Pools (System/User), and Role-Based Access Control integrated with AAD.","Task","Sprint Backlog","Critical","devops.lead@company.com","architect@company.com","2024-06-18","12.7","5","kubernetes,terraform,azure","Sprint 2","Core Service Logic and Mobile Foundation","Core Infrastructure & DevOps","EPIC-INFRA","Warranty Service Platform","TASK-INFRA-001","Terraform,Kubernetes","High","Medium","Cluster reachable via kubectl; RBAC enabled","Cluster provisioned and healthy","16%","RISK-OPS-006: Use layered Terraform state"
"TASK-AUTH-003","Implement Azure Graph API Client Service","Create service wrapper for Microsoft Graph API to programmatically create users in B2C tenant.","Task","Sprint Backlog","High","backend.dev1@company.com","backend.lead@company.com","2024-06-19","10","5","backend,graph-api,azure-b2c","Sprint 2","Core Service Logic and Mobile Foundation","Authentication & User Management","EPIC-AUTH","Warranty Service Platform","","NestJS,Axios/GraphClient","Medium","Medium","User creation reflects in B2C; Duplicate email handling","Integration test creating test user in B2C","13%",""
"TASK-AUTH-004","Implement User Sync to PostgreSQL","Develop registration controller that coordinates B2C creation and local Postgres record creation in a transaction.","Task","Sprint Backlog","High","backend.dev1@company.com","backend.lead@company.com","2024-06-21","12.3","5","backend,transaction-management","Sprint 2","Core Service Logic and Mobile Foundation","Authentication & User Management","EPIC-AUTH","Warranty Service Platform","TASK-AUTH-003,TASK-INFRA-005","NestJS,TypeORM","High","Medium","Local DB syncs with B2C; Rollback on failure","Compensating transaction logic verified","15%",""
"TASK-SERV-001","Design and Implement Service Center Geo-Entity","Create TypeORM entity for Service Center with `geometry` column for service areas (Polygon) and location (Point).","Task","Sprint Backlog","High","backend.dev2@company.com","backend.lead@company.com","2024-06-18","6.3","3","backend,postgis,typeorm","Sprint 2","Core Service Logic and Mobile Foundation","Service Request Lifecycle","EPIC-SERVICE","Warranty Service Platform","TASK-INFRA-005","TypeORM,PostGIS","Medium","Medium","Entity supports GeoJSON; Spatial index created","Migration run successfully","8%",""
