"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001.1","PostgreSQL Terraform Module Design","Design and implement the base Terraform module for Azure Database for PostgreSQL Flexible Server, including VNet integration and firewall rules.","Task","Sprint Backlog","Critical","devops.lead@company.com","platform.architect@company.com","2025-01-10","5.2","3","terraform,azure,database,security","Sprint 1","Establish core infrastructure and security foundation","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Service Platform","US-INFRA-001","","Terraform,Azure Networking","Medium","Medium","Module provisions Flexible Server; VNet integration configured; Firewall restricts external access","Terraform plan applies cleanly; Security scan passed","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-06","2025-01-17","15%","Security Architect for firewall rules","Azure Subscription Quota","Infrastructure verification test","Apply to Dev environment first","Foundation for all data persistence"
"TASK-INFRA-001.2","PostGIS Extension & Read Replica Config","Extend module to enable PostGIS extension via server parameters and configure read replica for analytics.","Task","Sprint Backlog","Critical","devops.lead@company.com","platform.architect@company.com","2025-01-14","4.2","2","terraform,postgis,database","Sprint 1","Establish core infrastructure and security foundation","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Warranty Service Platform","US-INFRA-001","TASK-INFRA-001.1","Terraform,PostgreSQL","Medium","Medium","PostGIS active on primary; Read replica synchronizing; Connection strings output","Extension verified via SQL; Replica connection tested","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-06","2025-01-17","10%","Backend Lead for connection string mapping","None","Run SELECT PostGIS_Version()","Requires server restart","Enables geospatial routing features"
"TASK-BE-001.1","Passport Azure AD Strategy Implementation","Implement passport-azure-ad strategy to validate JWTs against B2C tenant JWKS.","Task","Sprint Backlog","Critical","backend.lead@company.com","security.architect@company.com","2025-01-10","5.2","3","nestjs,auth,security,azure-ad-b2c","Sprint 1","Establish core infrastructure and security foundation","Core Backend Services","EPIC-BACKEND","Warranty Service Platform","US-BE-001","","NestJS,OAuth2,TypeScript","Medium","Medium","Valid tokens decoded; Invalid tokens 401; Claims extracted","Unit tests passing; Integration with mock B2C token working","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-06","2025-01-17","15%","Identity Specialist for B2C config","Azure AD B2C Tenant","Token validation tests","Env vars for B2C required","Secures API access"
"TASK-BE-001.2","RBAC Guard & Decorators Development","Create @Roles() decorator and RolesGuard to enforce role-based access control.","Task","Sprint Backlog","High","backend.lead@company.com","security.architect@company.com","2025-01-13","4","2","nestjs,rbac,security","Sprint 1","Establish core infrastructure and security foundation","Core Backend Services","EPIC-BACKEND","Warranty Service Platform","US-BE-001","TASK-BE-001.1","NestJS,TypeScript","Medium","Low","Guard blocks missing roles; Allows matching roles; Tests cover permutations","100% test coverage for Guard logic","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-06","2025-01-17","10%","None","None","Unit tests for Guard","None","Enforces authorization policy"
"TASK-MOB-001.1","Native Permission & Config Setup","Configure iOS Info.plist and Android AndroidManifest.xml for background location permissions.","Task","Sprint Backlog","High","mobile.lead@company.com","product.owner@company.com","2025-01-10","5.2","3","react-native,ios,android,permissions","Sprint 1","Establish core infrastructure and security foundation","Consumer & Technician Mobile Apps","EPIC-MOBILE","Warranty Service Platform","US-MOB-001","","iOS/Android Native Config,React Native","High","High","iOS requests Always permission; Android foreground notification works; No crashes on denial","Builds successful on both platforms; Permissions flow verified","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-06","2025-01-17","15%","UX for permission rationale strings","Apple/Google Policy compliance","Manual testing on physical devices","Requires store review notes for background location","Unblocks location tracking feature"
"TASK-WEB-001.1","Mapbox Component Shell","Initialize Mapbox GL JS within a React component with secure API key injection.","Task","Sprint Backlog","Medium","frontend.dev@company.com","ui.lead@company.com","2025-01-12","4","2","react,mapbox,frontend","Sprint 1","Establish core infrastructure and security foundation","Web Administrative Portals","EPIC-WEB","Warranty Service Platform","US-WEB-001","","React,Mapbox GL JS","Low","Low","Map renders base tiles; Zoom/Pan works; Resizes correctly","Component in Storybook; Tests passing","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-06","2025-01-17","10%","None","Mapbox API Key","Visual regression test","None","Visualizes service coverage"
"TASK-BE-003.1","PostGIS Data Access Layer Implementation","Implement TypeORM entities for Service Center polygons and raw SQL for spatial queries.","Task","Backlog","Critical","backend.lead@company.com","platform.architect@company.com","2025-01-24","8.5","5","typeorm,postgis,backend","Sprint 2","Implement core business logic for routing and auditing","Core Backend Services","EPIC-BACKEND","Warranty Service Platform","US-BE-003","TASK-INFRA-001.2","TypeORM,PostGIS,SQL","High","Medium","Entities map to geometry columns; Spatial queries return correct center; Migrations created","Integration tests with test container DB passing","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-20","2025-01-31","20%","DBA for index optimization","None","Performance bench on spatial queries","Requires DB migration run","Core engine for auto-dispatch"
"TASK-BE-003.2","Routing Logic & Load Balancing","Implement business logic for overlapping areas and Redis-based round-robin distribution.","Task","Backlog","High","backend.lead@company.com","platform.architect@company.com","2025-01-28","6.2","3","redis,algorithm,backend","Sprint 2","Implement core business logic for routing and auditing","Core Backend Services","EPIC-BACKEND","Warranty Service Platform","US-BE-003","TASK-BE-003.1","TypeScript,Redis","Medium","Medium","Handles overlapping polygons; Round-robin works; Fallback logic active","Unit tests for distribution logic; Redis integration verified","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-20","2025-01-31","15%","None","Redis Cache","Load test distribution fairness","None","Ensures fair work distribution"
"TASK-MOB-001.2","Background Service Logic Implementation","Implement headless task for coordinate capture and lifecycle management.","Task","Backlog","Critical","mobile.lead@company.com","tech.lead@company.com","2025-01-27","10.3","5","react-native,background-service,geolocation","Sprint 2","Implement core business logic for routing and auditing","Consumer & Technician Mobile Apps","EPIC-MOBILE","Warranty Service Platform","US-MOB-001","TASK-MOB-001.1","React Native,JavaScript","High","High","Captures coords in background/killed state; Battery config applied; Auto-stop works","Verified on physical devices (iOS/Android)","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-20","2025-01-31","25%","None","None","Field testing required","None","Core tracking capability"
"TASK-BE-002.1","OpenSearch Integration Service","Develop NestJS service for OpenSearch connection and bulk indexing.","Task","Backlog","Medium","backend.dev@company.com","backend.lead@company.com","2025-01-23","4","2","opensearch,nestjs,backend","Sprint 2","Implement core business logic for routing and auditing","Core Backend Services","EPIC-BACKEND","Warranty Service Platform","US-BE-002","","NestJS,OpenSearch","Medium","Low","Secure connection established; Bulk insert works; Error handling prevents crashes","Service unit tested with mock client","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-20","2025-01-31","10%","DevOps for OpenSearch creds","OpenSearch Instance","Connection resilience test","None","Enables audit logging"
"TASK-BE-002.2","Audit Interceptor Implementation","Implement NestJS Interceptor for async logging of request data.","Task","Backlog","High","backend.dev@company.com","security.architect@company.com","2025-01-26","5.2","3","nestjs,interceptor,security","Sprint 2","Implement core business logic for routing and auditing","Core Backend Services","EPIC-BACKEND","Warranty Service Platform","US-BE-002","TASK-BE-002.1","NestJS,RxJS","Medium","Low","Captures metadata; Scrubs sensitive data; Non-blocking execution","Interceptor applied globally; Logs visible in OpenSearch","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-20","2025-01-31","15%","None","None","Performance impact test","None","Compliance requirement"
"TASK-MOB-002.1","WatermelonDB Schema & Setup","Define WatermelonDB schema and configure native JSI adapters.","Task","Backlog","High","mobile.dev@company.com","mobile.lead@company.com","2025-02-07","8","5","react-native,watermelondb,offline","Sprint 3","Deliver offline capabilities and advanced visualization","Consumer & Technician Mobile Apps","EPIC-MOBILE","Warranty Service Platform","US-MOB-002","","React Native,Database Design","High","Medium","DB initializes on both platforms; Schema supports core entities; Encryption active","Schema migration test passing","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-02-03","2025-02-14","20%","Backend for schema alignment","None","Persistence tests","None","Foundation for offline work"
"TASK-MOB-002.2","Sync Adapter Implementation","Implement synchronize() function for push/pull logic.","Task","Backlog","High","mobile.dev@company.com","mobile.lead@company.com","2025-02-12","11.7","5","react-native,sync,offline","Sprint 3","Deliver offline capabilities and advanced visualization","Consumer & Technician Mobile Apps","EPIC-MOBILE","Warranty Service Platform","US-MOB-002","TASK-MOB-002.1","React Native,API Integration","High","High","Pull retrieves changes; Push sends dirty records; Batching works","Sync works against mock backend","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-02-03","2025-02-14","30%","Backend for sync endpoints","Backend Sync API","Conflict scenarios","None","Enables field work without net"
"TASK-MOB-002.3","Conflict Resolution Strategy","Implement 'Last Write Wins' logic in sync adapter.","Task","Backlog","Medium","mobile.dev@company.com","mobile.lead@company.com","2025-02-14","6.2","3","react-native,sync,logic","Sprint 3","Deliver offline capabilities and advanced visualization","Consumer & Technician Mobile Apps","EPIC-MOBILE","Warranty Service Platform","US-MOB-002","TASK-MOB-002.2","Logic Design,TypeScript","Medium","Medium","Server changes overwrite local on conflict; Conflicts logged","Unit tests for conflict logic passing","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-02-03","2025-02-14","15%","Product for business rules","None","Edge case testing","None","Data integrity"
"TASK-WEB-001.2","Drawing Tools Integration","Integrate mapbox-gl-draw for admin polygon editing.","Task","Backlog","Medium","frontend.dev@company.com","ui.lead@company.com","2025-01-29","8","5","react,mapbox,frontend","Sprint 2","Implement core business logic for routing and auditing","Web Administrative Portals","EPIC-WEB","Warranty Service Platform","US-WEB-001","TASK-WEB-001.1","React,GeoJSON","Medium","Low","Draw polygons; Output valid GeoJSON; Edit vertices","Component verified in Storybook","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-01-20","2025-01-31","20%","None","None","Manual drawing test","None","Admin configuration tool"
"TASK-WEB-001.3","Clustering & Heatmap Visualization","Implement data layers for point clustering and heatmaps.","Task","Backlog","Medium","frontend.dev@company.com","ui.lead@company.com","2025-02-10","5.8","3","react,webgl,frontend","Sprint 3","Deliver offline capabilities and advanced visualization","Web Administrative Portals","EPIC-WEB","Warranty Service Platform","US-WEB-001","TASK-WEB-001.1","React,WebGL","Medium","Low","Points cluster at zoom; Heatmap configurable; Performance OK for 10k points","Performance test with synthetic data","2025-01-02T09:00:00Z","2025-01-02T09:00:00Z","2025-02-03","2025-02-14","15%","None","None","Browser performance profiling","None","Analytics visualization"
