"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-018","Security","Secure User Authentication with Role-Based Access Control","Platform User (Consumer, Admin, Technician)","As a Platform User, I want to securely log in using Multi-Factor Authentication so that my account is protected and I am granted appropriate access permissions based on my role.","Ensures data security and regulatory compliance (GDPR/CCPA) by restricting system access to authorized personnel only, utilizing enterprise-grade identity management.","Must Have","5","[""TS-INFRA-003""]","[{""scenario"":""Successful Login with Valid Credentials"",""given"":""A user has a registered account in Azure AD B2C with MFA enabled"",""when"":""The user submits valid credentials and completes the MFA challenge"",""then"":""The system issues a valid JWT containing the correct 'iss', 'aud', and custom role claims, and grants access to protected routes.""},{""scenario"":""RBAC Enforcement for Protected Endpoints"",""given"":""A user with the 'Consumer' role is authenticated"",""when"":""The user attempts to access an endpoint decorated with `@Roles('Admin')`"",""then"":""The system denies access and returns a 403 Forbidden status.""},{""scenario"":""Invalid Token Rejection"",""given"":""An API request contains a tamper or expired JWT"",""when"":""The request reaches the Auth Guard"",""then"":""The request is rejected with a 401 Unauthorized status.""}]","[""WI-BE-AUTH-001: Implement JWT Strategy and RBAC Guards"",""WI-INFRA-003: Configure Azure AD B2C Tenant""]","[""JWT Strategy implemented using passport-jwt"",""Custom Guards created for RBAC"",""Unit tests covering all Auth Guards pass"",""Azure AD B2C user flows configured and tested""]"
"US-019","Core Features","Product Registration with Automated Warranty Calculation","Consumer","As a Consumer, I want to register my product by providing purchase details so that the system can automatically calculate and track my warranty expiry date.","Streamlines the user onboarding process and ensures data accuracy for warranty claims, reducing manual verification overhead.","Must Have","5","[""US-018"",""TS-INFRA-002""]","[{""scenario"":""Successful Product Registration"",""given"":""A user provides a valid purchase date and product details"",""when"":""The user submits the registration form"",""then"":""The product is saved to the database, and the warranty expiry date is correctly calculated as (Purchase Date + Duration - 1 day).""},{""scenario"":""Future Purchase Date Validation"",""given"":""A user enters a purchase date in the future"",""when"":""The user attempts to submit the form"",""then"":""The system rejects the request with a validation error.""},{""scenario"":""Leap Year Warranty Calculation"",""given"":""A product is purchased on Feb 29th of a leap year with a 1-year warranty"",""when"":""The warranty expiry is calculated"",""then"":""The system correctly sets the expiry date to Feb 28th of the following year.""}]","[""WI-BE-PROD-001: Implement Product Registration API with Warranty Calculation""]","[""API Endpoint POST /api/v1/products implemented"",""Warranty calculation logic using date-fns is verified with unit tests"",""Data persistence to PostgreSQL verified"",""Input validation enabled""]"
"US-017","Data Management","Secure Invoice Document Upload","Consumer","As a Consumer, I want to upload a digital copy of my invoice (PDF/JPG/PNG) so that I have secure, accessible proof of purchase linked to my product.","Digitizes proof of purchase, facilitating smoother warranty claims and reducing fraud risk.","Should Have","3","[""TS-INFRA-002""]","[{""scenario"":""Valid File Upload"",""given"":""A user selects a valid PDF invoice under 10MB"",""when"":""The upload is initiated"",""then"":""The file is securely stored in Azure Blob Storage, and a reference URL is saved to the product record.""},{""scenario"":""Invalid File Type Rejection"",""given"":""A user selects an executable (.exe) file"",""when"":""The upload is attempted"",""then"":""The system rejects the file type and returns an appropriate error message.""},{""scenario"":""Secure Retrieval"",""given"":""A user requests to view their uploaded invoice"",""when"":""The API is called"",""then"":""The system generates a time-limited Shared Access Signature (SAS) token for secure access.""}]","[""WI-BE-PROD-002: Implement Document Upload Service (Invoices)""]","[""Multipart file upload handler implemented"",""Azure Blob Storage integration complete with SAS token generation"",""MIME type and size validation active"",""Integration tests passing""]"
"US-098","Core Features","Automated Geospatial Service Request Routing","System (Automated Process)","As the System, I want to automatically route service requests to the correct service center based on brand authorization and user location so that response times are minimized and logistics are optimized.","Eliminates manual dispatching effort, optimizes field force allocation, and reduces service turnaround time.","Must Have","8","[""TS-INFRA-002""]","[{""scenario"":""Routing Based on Polygon Location"",""given"":""A user creates a request from a location within a Service Center's defined polygon"",""when"":""The routing algorithm executes"",""then"":""The request is assigned to that specific Service Center.""},{""scenario"":""Round-Robin Assignment"",""given"":""A user location falls within the service area of multiple eligible Service Centers"",""when"":""The routing algorithm executes"",""then"":""The system uses Redis to determine the next center in the round-robin sequence and assigns the request.""}]","[""WI-BE-REQ-001: Implement Service Request Routing Algorithm""]","[""PostGIS point-in-polygon query implemented"",""Round-robin logic using Redis implemented"",""Performance tests confirm P95 < 250ms for routing logic"",""Unit tests covering edge cases (no coverage, overlapping coverage)""]"
"US-032","User Experience","Mobile Digital Warranty Card View","Consumer","As a Consumer, I want to view a digital warranty card on my mobile device that displays product details and status badges so that I can quickly verify my coverage status.","Enhances user engagement and provides immediate, accessible warranty status information without paper documents.","Should Have","5","[""US-019""]","[{""scenario"":""Status Badge Display"",""given"":""A product has an active warranty"",""when"":""The user views the warranty card"",""then"":""A Green 'Active' badge is displayed prominently.""},{""scenario"":""Responsive Layout"",""given"":""The user is on a device with a small screen"",""when"":""The warranty card renders"",""then"":""The layout adjusts to fit the screen width without horizontal scrolling, maintaining legibility.""}]","[""WI-MOB-U-001: Implement Digital Warranty Card UI""]","[""React Native components created (WarrantyCard.tsx)"",""UI matches design mockups"",""Accessibility labels (accessibilityLabel) implemented"",""Tested on iOS and Android simulators""]"
"US-074","Data Management","Offline Mobile Data Access","Consumer","As a Consumer, I want to access my product list and warranty details even when offline so that I can retrieve information in areas with poor connectivity.","Ensures application reliability and usability in all network conditions, critical for mobile users.","Should Have","8","[""US-032""]","[{""scenario"":""View Data Offline"",""given"":""The device is in airplane mode and data was previously synced"",""when"":""The user opens the product list"",""then"":""The list loads from local storage (WatermelonDB/Realm) and is visible.""},{""scenario"":""Background Sync on Reconnect"",""given"":""The user made local changes while offline"",""when"":""Network connectivity is restored"",""then"":""The app automatically synchronizes local changes with the backend API.""}]","[""WI-MOB-U-002: Implement Offline Data Sync""]","[""Local database (WatermelonDB/Realm) configured"",""Sync service implemented"",""Offline capability verified manually on device"",""Conflict resolution strategy defined""]"
"US-079","Performance","Technician Background Location Tracking","Technician","As a Technician, I want my location to be tracked in the background when 'Travel Mode' is active so that the customer can see my real-time ETA.","Provides transparency to customers, reducing anxiety and support calls regarding technician arrival.","Must Have","8","[]","[{""scenario"":""Travel Mode Activation"",""given"":""A technician activates 'Travel Mode'"",""when"":""The technician moves"",""then"":""GPS coordinates are captured in the background and transmitted via WebSocket every 30 seconds.""},{""scenario"":""Travel Mode Deactivation"",""given"":""'Travel Mode' is active"",""when"":""The technician marks the job as 'Arrived' or deactivates the mode"",""then"":""Background location tracking stops immediately to preserve privacy and battery.""}]","[""WI-MOB-T-001: Implement Background Location Tracking""]","[""Background geolocation module integrated"",""WebSocket transmission implemented"",""Battery usage optimized"",""iOS/Android permissions configured""]"
"US-086","User Experience","Interactive Brand Analytics Dashboard","Brand Admin","As a Brand Admin, I want to view an interactive dashboard with charts for fault patterns and registration trends so that I can make data-driven decisions about product quality.","Empowers brands with actionable insights, increasing platform value and stickiness.","Should Have","8","[""US-018""]","[{""scenario"":""Visualizing Fault Patterns"",""given"":""The dashboard is loaded"",""when"":""The user views the Fault Patterns chart"",""then"":""Data is rendered using Recharts, showing the frequency of different issue types.""},{""scenario"":""Filtering Data"",""given"":""The user is viewing the dashboard"",""when"":""The user applies a date range filter"",""then"":""All charts and widgets update to reflect data from the selected period.""}]","[""WI-WEB-001: Implement Brand Analytics Dashboard""]","[""Dashboard page created in Next.js"",""Charts implemented using Recharts"",""Mapbox integration for geographic view complete"",""WCAG 2.1 AA compliance verified""]"
"US-076","Data Management","Bulk Data Import for Products","Brand Admin","As a Brand Admin, I want to upload CSV or JSON files to bulk import product data so that I can efficiently onboard my product catalog.","Reduces onboarding time and manual effort for brands with large catalogs.","Should Have","5","[""US-086""]","[{""scenario"":""Successful Bulk Upload"",""given"":""A valid CSV file with product data"",""when"":""The user uploads the file via the Bulk Import interface"",""then"":""The system accepts the file, processes records asynchronously, and provides a status update.""},{""scenario"":""Error Reporting"",""given"":""A CSV file with validation errors"",""when"":""The import processing completes"",""then"":""The user is presented with a downloadable error report detailing specific issues per row.""}]","[""WI-WEB-002: Implement Bulk Import Interface""]","[""File upload UI created"",""Async status polling implemented"",""Error report generation and download works"",""Input validation for file formats active""]"
"US-129","Performance","Automated CI/CD Pipeline with Quality Gates","Developer","As a Developer, I want an automated CI/CD pipeline that runs tests and linting on every commit so that I can ensure code quality and prevent regressions.","Increases development velocity and stability by catching issues early and automating deployment processes.","Must Have","3","[]","[{""scenario"":""Pipeline Execution on Pull Request"",""given"":""A new pull request is opened"",""when"":""Code is pushed to the branch"",""then"":""The CI pipeline triggers, running unit tests, linting, and building the Docker image.""},{""scenario"":""Quality Gate Failure"",""given"":""Code contains syntax errors or failing tests"",""when"":""The pipeline runs"",""then"":""The build fails and the Pull Request is blocked from merging.""}]","[""WI-DEVOPS-001: Implement CI Pipeline with Testing and Linting""]","[""GitHub Actions workflow defined"",""Linting, Testing, and Build steps configured"",""Pipeline execution time is under 10 minutes"",""Branch protection rules updated""]"
