"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001","Develop AKS Terraform Module","Write Terraform code to provision AKS cluster, node pools, and VNet integration.","Task","Sprint Backlog","Critical","devops.engineer@company.com","tech.lead@company.com","2024-06-02","10.3","5","infrastructure,terraform,aks","Sprint 1","Establish Cloud Infrastructure & Core Authentication","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Platform","WI-INFRA-001","None","Terraform,Azure Networking","High","Medium","Terraform plan executes cleanly; Cluster created with System/User node pools","Infrastructure deployed to Dev environment; State file locked in Azure Storage","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","100%","Security Architect for RBAC design","Azure Subscription Quota","Infrastructure validation tests","Requires Global Admin for AD integration","Foundation for all compute resources"
"TASK-INFRA-002","Configure AKS RBAC and Namespaces","Set up Kubernetes namespaces (dev, stage, prod) and RBAC role bindings for AD groups.","Task","Sprint Backlog","High","devops.engineer@company.com","tech.lead@company.com","2024-06-04","8","3","infrastructure,security,k8s","Sprint 1","Establish Cloud Infrastructure & Core Authentication","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Platform","WI-INFRA-001","TASK-INFRA-001","Kubernetes,Azure AD","Medium","Low","Namespaces created; Dev group has access to dev namespace","kubectl auth can-i verifies correct permissions","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","100%","None","None","Manual verification of access control","Apply via CI/CD pipeline","Secures cluster access and isolates environments"
"TASK-INFRA-003","Develop PostgreSQL Terraform Module","Write Terraform to provision Azure Database for PostgreSQL Flexible Server with PostGIS.","Task","Sprint Backlog","High","devops.engineer@company.com","tech.lead@company.com","2024-06-06","6.3","3","infrastructure,database,terraform","Sprint 1","Establish Cloud Infrastructure & Core Authentication","Cloud Infrastructure & DevOps","EPIC-INFRA","Warranty Platform","WI-INFRA-002","TASK-INFRA-001","Terraform,PostgreSQL,Azure Networking","High","Medium","Postgres Flexible Server provisioned; PostGIS extension enabled","Connection verified from AKS cluster via Private Endpoint","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","100%","Backend Lead for DB config","None","Connectivity test script","Ensure VNet peering is correct","Provides geospatial data storage"
"TASK-AUTH-001","Implement Passport Azure AD Strategy","Configure @nestjs/passport with Azure AD B2C metadata for token validation.","Task","Sprint Backlog","Critical","backend.dev@company.com","tech.lead@company.com","2024-06-03","10.3","5","backend,security,auth","Sprint 1","Establish Cloud Infrastructure & Core Authentication","Authentication & User Management","EPIC-AUTH","Warranty Platform","WI-AUTH-001","None","NestJS,OAuth2,Passport.js","High","High","Strategy validates B2C access tokens; User object injected into request","Unit tests pass; Integration test with valid B2C token succeeds","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","100%","Identity Team for B2C config","B2C Tenant Configuration","Mock B2C token validation","Env vars for B2C required","Secures API endpoints"
"TASK-AUTH-002","Develop RBAC Guard and Decorator","Create NestJS Guard to check roles extracted from JWT claims.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-06-05","6.3","3","backend,security,rbac","Sprint 1","Establish Cloud Infrastructure & Core Authentication","Authentication & User Management","EPIC-AUTH","Warranty Platform","WI-AUTH-001","TASK-AUTH-001","NestJS,TypeScript","Medium","Low","Guard denies access if role missing; 403 Forbidden returned","Unit tests with mock context pass; Guard applied to test route","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","100%","None","None","Role permutation testing","None","Enforces authorization policies"
"TASK-PROD-001","Design Product Data Model and Migration","Define TypeORM entity with fields and indexes for Products.","Task","Sprint Backlog","Medium","backend.dev@company.com","tech.lead@company.com","2024-06-07","4","2","backend,database,typeorm","Sprint 1","Establish Cloud Infrastructure & Core Authentication","Core Business Services","EPIC-CORE","Warranty Platform","WI-PROD-001","None","TypeORM,PostgreSQL","Medium","Low","Entity supports soft delete; Unique constraint on (Brand, SerialNumber)","Migration file generated; Entity synced with DB","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","100%","None","None","Migration rollback test","Run migrations in CD pipeline","Data structure for product features"
"TASK-MOB-001","Configure WatermelonDB Schema","Define local database schema for Service Requests, Products, and Users.","Task","Sprint Backlog","Critical","mobile.dev@company.com","tech.lead@company.com","2024-06-05","10.3","5","mobile,database,offline","Sprint 1","Establish Cloud Infrastructure & Core Authentication","Web & Mobile Applications","EPIC-FRONTEND","Warranty Platform","WI-MOB-001","None","React Native,WatermelonDB","High","High","Database initializes on app start; Schema matches backend models","App launches on simulator; DB file created","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-05-27","2024-06-07","100%","Backend team for schema alignment","None","Device storage validation","None","Enables offline-first capability"
"TASK-RT-001","Implement Redis IoAdapter","Configure NestJS to use Redis for WebSocket pub/sub.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-06-12","8.6","3","backend,realtime,redis","Sprint 2","Deliver Core Logic & Real-time Sync","Real-time Communication & Tracking","EPIC-REALTIME","Warranty Platform","WI-RT-001","None","NestJS,Redis,WebSockets","Medium","Medium","WebSocket messages propagate across multiple server instances","Multi-instance broadcast test passed","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-10","2024-06-21","100%","DevOps for Redis instance","Redis Infrastructure","Load testing with concurrent sockets","Redis connection string required","Scalable real-time messaging"
"TASK-PROD-002","Implement Product CRUD API","Create NestJS Controller and Service for product registration with validation.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-06-13","10.6","5","backend,api,crud","Sprint 2","Deliver Core Logic & Real-time Sync","Core Business Services","EPIC-CORE","Warranty Platform","WI-PROD-001","TASK-PROD-001","NestJS,TypeScript","Medium","Low","POST /products creates record; Validation pipe rejects missing fields","Integration tests via Supertest pass; API documented","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-10","2024-06-21","100%","None","None","API validation testing","None","Enables product registration feature"
"TASK-SR-001","Implement PostGIS Spatial Queries","Write logic to match user location to Service Center polygons.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-06-14","11","5","backend,database,gis","Sprint 2","Deliver Core Logic & Real-time Sync","Core Business Services","EPIC-CORE","Warranty Platform","WI-SR-002","TASK-INFRA-003","PostGIS,SQL,TypeORM","High","Medium","Query correctly identifies service center containing a point; <100ms execution","Unit tests with mock geometry data pass","2024-05-22T09:00:00Z","2024-05-22T09:00:00Z","2024-06-10","2024-06-21","100%","None","None","Performance benchmarking","Requires PostGIS extension enabled","Core logic for service routing"
